DayofYear	c_Ia
1	0.005
2	0.005
3	0.005
4	0.005
5	0.005
6	0.005
7	0.005
8	0.005
9	0.005
10	0.005
11	0.005
12	0.005
13	0.005
14	0.005
15	0.005
16	0.005
17	0.005
18	0.005
19	0.005
20	0.005
21	0.005
22	0.005
23	0.005
24	0.005
25	0.005
26	0.005
27	0.005
28	0.005
29	0.005
30	0.005
31	0.005
32	0.005
33	0.005
34	0.005
35	0.005
36	0.005
37	0.005
38	0.005
39	0.005
40	0.005
41	0.005
42	0.005
43	0.005
44	0.005
45	0.005
46	0.005
47	0.005
48	0.005
49	0.005
50	0.005
51	0.005
52	0.005
53	0.005
54	0.005
55	0.005
56	0.005
57	0.005
58	0.005
59	0.005
60	0.005
61	0.005
62	0.005
63	0.005
64	0.005
65	0.005
66	0.005
67	0.005
68	0.005
69	0.005
70	0.005
71	0.005
72	0.005
73	0.005
74	0.005
75	0.005
76	0.005
77	0.005
78	0.005
79	0.005
80	0.005
81	0.005
82	0.005
83	0.005
84	0.005
85	0.005
86	0.005
87	0.005
88	0.005
89	0.005
90	0.005
91	0.007
92	0.010
93	0.012
94	0.014
95	0.017
96	0.019
97	0.021
98	0.023
99	0.026
100	0.028
101	0.030
102	0.033
103	0.035
104	0.037
105	0.040
106	0.042
107	0.044
108	0.046
109	0.049
110	0.051
111	0.053
112	0.056
113	0.058
114	0.060
115	0.063
116	0.065
117	0.067
118	0.069
119	0.072
120	0.074
121	0.076
122	0.079
123	0.081
124	0.083
125	0.086
126	0.088
127	0.090
128	0.092
129	0.095
130	0.097
131	0.099
132	0.102
133	0.104
134	0.106
135	0.109
136	0.111
137	0.113
138	0.115
139	0.118
140	0.120
141	0.120
142	0.120
143	0.120
144	0.120
145	0.120
146	0.120
147	0.120
148	0.120
149	0.120
150	0.120
151	0.120
152	0.120
153	0.120
154	0.120
155	0.120
156	0.120
157	0.120
158	0.120
159	0.120
160	0.120
161	0.120
162	0.120
163	0.120
164	0.120
165	0.120
166	0.120
167	0.120
168	0.120
169	0.120
170	0.120
171	0.120
172	0.120
173	0.120
174	0.120
175	0.120
176	0.120
177	0.120
178	0.120
179	0.120
180	0.120
181	0.120
182	0.120
183	0.120
184	0.120
185	0.120
186	0.120
187	0.120
188	0.120
189	0.120
190	0.120
191	0.120
192	0.120
193	0.120
194	0.120
195	0.120
196	0.120
197	0.120
198	0.120
199	0.120
200	0.120
201	0.120
202	0.120
203	0.120
204	0.120
205	0.120
206	0.120
207	0.120
208	0.120
209	0.120
210	0.120
211	0.120
212	0.120
213	0.120
214	0.120
215	0.120
216	0.120
217	0.120
218	0.120
219	0.120
220	0.120
221	0.120
222	0.120
223	0.120
224	0.120
225	0.120
226	0.120
227	0.120
228	0.120
229	0.120
230	0.120
231	0.120
232	0.120
233	0.120
234	0.120
235	0.120
236	0.120
237	0.120
238	0.120
239	0.120
240	0.120
241	0.120
242	0.120
243	0.120
244	0.120
245	0.120
246	0.120
247	0.120
248	0.120
249	0.120
250	0.120
251	0.120
252	0.120
253	0.120
254	0.120
255	0.120
256	0.120
257	0.120
258	0.120
259	0.120
260	0.120
261	0.120
262	0.120
263	0.120
264	0.120
265	0.120
266	0.120
267	0.120
268	0.120
269	0.120
270	0.120
271	0.120
272	0.120
273	0.120
274	0.120
275	0.120
276	0.120
277	0.120
278	0.120
279	0.120
280	0.120
281	0.120
282	0.120
283	0.120
284	0.120
285	0.120
286	0.120
287	0.120
288	0.120
289	0.120
290	0.120
291	0.116
292	0.112
293	0.108
294	0.104
295	0.100
296	0.096
297	0.092
298	0.088
299	0.084
300	0.080
301	0.076
302	0.072
303	0.068
304	0.064
305	0.061
306	0.057
307	0.053
308	0.049
309	0.045
310	0.041
311	0.037
312	0.033
313	0.029
314	0.025
315	0.021
316	0.017
317	0.013
318	0.009
319	0.005
320	0.005
321	0.005
322	0.005
323	0.005
324	0.005
325	0.005
326	0.005
327	0.005
328	0.005
329	0.005
330	0.005
331	0.005
332	0.005
333	0.005
334	0.005
335	0.005
336	0.005
337	0.005
338	0.005
339	0.005
340	0.005
341	0.005
342	0.005
343	0.005
344	0.005
345	0.005
346	0.005
347	0.005
348	0.005
349	0.005
350	0.005
351	0.005
352	0.005
353	0.005
354	0.005
355	0.005
356	0.005
357	0.005
358	0.005
359	0.005
360	0.005
361	0.005
362	0.005
363	0.005
364	0.005
365	0.005
366	0.005
