date	prcp_d(mm)
2005-12-1	0.6
2005-12-2	0.0
2005-12-3	0.0
2005-12-4	0.2
2005-12-5	0.0
2005-12-6	0.0
2005-12-7	0.0
2005-12-8	0.0
2005-12-9	0.2
2005-12-10	0.0
2005-12-11	0.0
2005-12-12	0.0
2005-12-13	0.0
2005-12-14	0.0
2005-12-15	4.1
2005-12-16	0.0
2005-12-17	0.0
2005-12-18	0.0
2005-12-19	0.0
2005-12-20	0.0
2005-12-21	0.0
2005-12-22	0.3
2005-12-23	1.2
2005-12-24	5.0
2005-12-25	7.0
2005-12-26	1.9
2005-12-27	0.0
2005-12-28	7.2
2005-12-29	2.2
2005-12-30	2.4
2005-12-31	3.2
2006-1-1	0.8
2006-1-2	3.3
2006-1-3	0.7
2006-1-4	0.5
2006-1-5	0.4
2006-1-6	0.0
2006-1-7	0.0
2006-1-8	2.3
2006-1-9	0.9
2006-1-10	2.5
2006-1-11	2.7
2006-1-12	0.2
2006-1-13	16.0
2006-1-14	13.6
2006-1-15	0.6
2006-1-16	0.9
2006-1-17	12.4
2006-1-18	0.0
2006-1-19	0.6
2006-1-20	1.0
2006-1-21	4.6
2006-1-22	0.0
2006-1-23	0.0
2006-1-24	0.5
2006-1-25	0.0
2006-1-26	0.0
2006-1-27	0.0
2006-1-28	0.4
2006-1-29	19.7
2006-1-30	0.0
2006-1-31	0.0
2006-2-1	0.0
2006-2-2	1.6
2006-2-3	3.5
2006-2-4	4.4
2006-2-5	0.0
2006-2-6	0.0
2006-2-7	0.0
2006-2-8	0.0
2006-2-9	0.0
2006-2-10	0.0
2006-2-11	0.0
2006-2-12	0.4
2006-2-13	0.0
2006-2-14	0.1
2006-2-15	1.2
2006-2-16	25.0
2006-2-17	0.0
2006-2-18	0.0
2006-2-19	0.0
2006-2-20	0.0
2006-2-21	0.0
2006-2-22	0.0
2006-2-23	0.0
2006-2-24	0.0
2006-2-25	0.0
2006-2-26	0.0
2006-2-27	0.0
2006-2-28	0.0
2006-3-1	0.0
2006-3-2	0.0
2006-3-3	0.0
2006-3-4	0.0
2006-3-5	0.0
2006-3-6	0.0
2006-3-7	2.4
2006-3-8	0.0
2006-3-9	0.2
2006-3-10	17.5
2006-3-11	0.0
2006-3-12	10.0
2006-3-13	37.3
2006-3-14	14.2
2006-3-15	0.0
2006-3-16	0.0
2006-3-17	0.4
2006-3-18	0.0
2006-3-19	0.0
2006-3-20	0.0
2006-3-21	0.1
2006-3-22	0.0
2006-3-23	0.0
2006-3-24	0.2
2006-3-25	0.2
2006-3-26	0.2
2006-3-27	0.0
2006-3-28	4.3
2006-3-29	0.0
2006-3-30	0.0
2006-3-31	3.0
2006-4-1	0.0
2006-4-2	9.1
2006-4-3	1.5
2006-4-4	0.0
2006-4-5	0.0
2006-4-6	0.6
2006-4-7	2.4
2006-4-8	0.0
2006-4-9	0.0
2006-4-10	0.0
2006-4-11	0.0
2006-4-12	4.1
2006-4-13	0.0
2006-4-14	0.3
2006-4-15	0.0
2006-4-16	4.9
2006-4-17	2.9
2006-4-18	0.0
2006-4-19	0.3
2006-4-20	0.0
2006-4-21	0.0
2006-4-22	0.0
2006-4-23	0.0
2006-4-24	0.0
2006-4-25	5.7
2006-4-26	0.0
2006-4-27	0.0
2006-4-28	0.0
2006-4-29	0.0
2006-4-30	6.9
2006-5-1	4.3
2006-5-2	8.0
2006-5-3	0.0
2006-5-4	0.1
2006-5-5	0.0
2006-5-6	0.0
2006-5-7	0.0
2006-5-8	0.0
2006-5-9	0.0
2006-5-10	22.6
2006-5-11	18.3
2006-5-12	8.5
2006-5-13	4.4
2006-5-14	8.4
2006-5-15	7.7
2006-5-16	0.0
2006-5-17	1.6
2006-5-18	1.8
2006-5-19	0.4
2006-5-20	0.0
2006-5-21	0.6
2006-5-22	0.0
2006-5-23	0.0
2006-5-24	3.5
2006-5-25	7.5
2006-5-26	1.3
2006-5-27	0.0
2006-5-28	0.0
2006-5-29	0.0
2006-5-30	1.2
2006-5-31	13.9
2006-6-1	0.2
2006-6-2	5.7
2006-6-3	0.2
2006-6-4	0.0
2006-6-5	0.0
2006-6-6	0.0
2006-6-7	9.0
2006-6-8	0.1
2006-6-9	0.0
2006-6-10	0.1
2006-6-11	0.0
2006-6-12	0.6
2006-6-13	0.0
2006-6-14	0.0
2006-6-15	0.0
2006-6-16	0.0
2006-6-17	0.0
2006-6-18	11.1
2006-6-19	9.5
2006-6-20	0.0
2006-6-21	32.0
2006-6-22	2.2
2006-6-23	0.0
2006-6-24	0.0
2006-6-25	0.0
2006-6-26	2.4
2006-6-27	4.6
2006-6-28	0.0
2006-6-29	0.0
2006-6-30	0.0
2006-7-1	0.0
2006-7-2	15.2
2006-7-3	1.4
2006-7-4	3.5
2006-7-5	0.0
2006-7-6	0.1
2006-7-7	0.3
2006-7-8	0.0
2006-7-9	0.8
2006-7-10	0.4
2006-7-11	27.4
2006-7-12	28.4
2006-7-13	0.0
2006-7-14	30.5
2006-7-15	0.0
2006-7-16	0.0
2006-7-17	0.0
2006-7-18	10.5
2006-7-19	0.0
2006-7-20	2.2
2006-7-21	0.1
2006-7-22	0.0
2006-7-23	0.0
2006-7-24	0.0
2006-7-25	0.0
2006-7-26	8.7
2006-7-27	19.1
2006-7-28	4.0
2006-7-29	0.0
2006-7-30	0.0
2006-7-31	0.0
2006-8-1	0.0
2006-8-2	0.0
2006-8-3	15.0
2006-8-4	0.0
2006-8-5	0.0
2006-8-6	0.4
2006-8-7	0.0
2006-8-8	0.0
2006-8-9	0.0
2006-8-10	0.0
2006-8-11	0.0
2006-8-12	0.0
2006-8-13	0.0
2006-8-14	0.0
2006-8-15	0.0
2006-8-16	0.0
2006-8-17	0.0
2006-8-18	0.4
2006-8-19	1.7
2006-8-20	0.0
2006-8-21	0.0
2006-8-22	0.3
2006-8-23	0.4
2006-8-24	2.4
2006-8-25	0.0
2006-8-26	4.7
2006-8-27	4.1
2006-8-28	53.1
2006-8-29	1.2
2006-8-30	0.0
2006-8-31	0.0
2006-9-1	1.7
2006-9-2	0.0
2006-9-3	0.0
2006-9-4	0.0
2006-9-5	0.0
2006-9-6	0.0
2006-9-7	0.0
2006-9-8	0.1
2006-9-9	0.0
2006-9-10	0.0
2006-9-11	5.2
2006-9-12	3.0
2006-9-13	1.3
2006-9-14	0.0
2006-9-15	0.0
2006-9-16	0.0
2006-9-17	0.0
2006-9-18	5.3
2006-9-19	0.2
2006-9-20	1.0
2006-9-21	0.1
2006-9-22	7.6
2006-9-23	4.5
2006-9-24	0.4
