value	HSG	Soil_z(m)	Soil_k(m/day)	Pe	Pt
126	3	1.200	0.236	0.21	0.43
127	4	1.200	0.104	0.17	0.43
128	2	1.200	1.359	0.23	0.41
129	3	1.200	0.303	0.17	0.43
130	2	1.200	1.876	0.21	0.42
132	1	1.200	3.197	0.45	0.48
133	4	1.200	0.104	0.17	0.43
134	3	1.200	0.615	0.22	0.43
135	3	1.200	0.263	0.18	0.43
136	3	1.200	0.135	0.15	0.43
138	4	1.200	0.228	0.18	0.43
139	1	1.200	9.024	0.28	0.40
144	3	1.200	0.243	0.18	0.43
145	2	1.200	9.365	0.25	0.40
146	1	1.200	5.772	0.28	0.40
148	3	1.200	0.488	0.22	0.43
149	2	0.500	0.778	0.35	0.39
150	2	1.200	1.076	0.21	0.42
151	3	1.200	5.267	0.23	0.43
152	3	1.200	0.243	0.18	0.43
154	4	0.025	14.63	0.35	0.39
