date	TEM_max	TEM_min
2005-12-1	-0.07	-4.53
2005-12-2	-3.35	-9.68
2005-12-3	-2.78	-7.57
2005-12-4	-1.19	-6.16
2005-12-5	-3.76	-15.69
2005-12-6	-7.24	-17.44
2005-12-7	-7.71	-17.84
2005-12-8	-4.62	-19.57
2005-12-9	-4.68	-9.24
2005-12-10	-3.38	-10.59
2005-12-11	-0.2	-4.66
2005-12-12	-1.35	-11.92
2005-12-13	-0.65	-9.08
2005-12-14	0.77	-7.34
2005-12-15	1.19	-3.34
2005-12-16	-0.86	-6.32
2005-12-17	-4.83	-13.27
2005-12-18	-6.37	-14.04
2005-12-19	-10.33	-16.12
2005-12-20	-4.39	-15.57
2005-12-21	-4.54	-11.67
2005-12-22	2.39	-12.59
2005-12-23	4.44	0.54
2005-12-24	4.57	0.18
2005-12-25	1.96	0.61
2005-12-26	1.92	0.41
2005-12-27	2.88	-0.27
2005-12-28	8.16	1.64
2005-12-29	2.62	1.15
2005-12-30	3	0.27
2005-12-31	1.89	0.41
2006-1-1	4.71	-0.43
2006-1-2	4.91	3.36
2006-1-3	5.57	3.33
2006-1-4	6.63	2.91
2006-1-5	3	-1.26
2006-1-6	-1.35	-3.33
2006-1-7	1.62	-2.78
2006-1-8	6.31	-1.67
2006-1-9	5.23	0.54
2006-1-10	3.2	-2.31
2006-1-11	7.68	1.67
2006-1-12	12.44	1.64
2006-1-13	10.46	0.86
2006-1-14	1.26	-3.64
2006-1-15	1.98	-3.84
2006-1-16	4.6	-3.33
2006-1-17	4.89	-0.32
2006-1-18	-0.24	-5.18
2006-1-19	11.08	-4.04
2006-1-20	11.65	6.29
2006-1-21	12.82	-3.39
2006-1-22	1.78	-4.94
2006-1-23	3.58	-3.18
2006-1-24	3.47	-3.45
2006-1-25	0.83	-1.35
2006-1-26	4.12	-6.28
2006-1-27	6.67	-2.75
2006-1-28	11.83	2.17
2006-1-29	11.38	6.22
2006-1-30	6.36	-0.16
2006-1-31	0.61	-0.86
2006-2-1	9.87	-1.39
2006-2-2	6.33	1.71
2006-2-3	6.85	0.79
2006-2-4	3.81	-0.65
2006-2-5	-0.67	-3.04
2006-2-6	-1.03	-6.01
