Observed streamflow data for AXL, unit in cms	
Date	AXL
2006-4-1	0.344
2006-4-2	0.326
2006-4-3	0.767
2006-4-4	0.604
2006-4-5	0.439
2006-4-6	0.434
2006-4-7	0.436
2006-4-8	0.343
2006-4-9	0.331
2006-4-10	0.306
2006-4-11	0.318
2006-4-12	0.300
2006-4-13	0.319
2006-4-14	0.309
2006-4-15	0.290
2006-4-16	0.291
2006-4-17	0.311
2006-4-18	0.277
2006-4-19	0.263
2006-4-20	0.252
2006-4-21	0.240
2006-4-22	0.246
2006-4-23	0.238
2006-4-24	0.234
2006-4-25	0.239
2006-4-26	0.212
2006-4-27	0.211
2006-4-28	0.194
2006-4-29	0.190
2006-4-30	0.200
2006-5-1	0.221
2006-5-2	0.285
2006-5-3	0.300
2006-5-4	0.265
2006-5-5	0.235
2006-5-6	0.215
2006-5-7	0.201
2006-5-8	0.197
2006-5-9	0.190
2006-5-10	0.200
2006-5-11	1.284
2006-5-12	1.802
2006-5-13	0.940
2006-5-14	0.602
2006-5-15	1.965
2006-5-16	1.873
2006-5-17	1.444
2006-5-18	0.992
2006-5-19	0.756
2006-5-20	0.576
2006-5-21	0.483
2006-5-22	0.413
2006-5-23	0.371
2006-5-24	0.352
2006-5-25	0.365
2006-5-26	0.376
2006-5-27	0.318
2006-5-28	0.290
2006-5-29	0.275
2006-5-30	0.266
2006-5-31	0.329
2006-6-1	0.597
2006-6-2	0.363
2006-6-3	0.350
2006-6-4	0.294
2006-6-5	0.257
2006-6-6	0.253
2006-6-7	0.387
2006-6-8	0.472
2006-6-9	0.330
2006-6-10	0.297
2006-6-11	0.265
2006-6-12	0.234
2006-6-13	0.233
2006-6-14	0.208
2006-6-15	0.181
2006-6-16	0.131
2006-6-17	0.187
2006-6-18	0.214
2006-6-19	0.231
2006-6-20	0.353
2006-6-21	0.265
2006-6-22	1.976
2006-6-23	1.010
2006-6-24	0.689
2006-6-25	0.475
2006-6-26	0.261
2006-6-27	0.240
2006-6-28	0.231
2006-6-29	0.202
2006-6-30	0.179
2006-7-1	0.156
2006-7-2	0.210
2006-7-3	0.485
2006-7-4	0.286
2006-7-5	0.188
2006-7-6	0.193
2006-7-7	0.211
2006-7-8	0.211
2006-7-9	0.206
2006-7-10	0.214
2006-7-11	0.220
2006-7-12	2.129
2006-7-13	1.946
2006-7-14	1.710
2006-7-15	3.209
2006-7-16	2.545
2006-7-17	1.663
2006-7-18	1.181
2006-7-19	0.867
2006-7-20	0.678
2006-7-21	0.498
2006-7-22	0.359
2006-7-23	0.284
2006-7-24	0.249
2006-7-25	0.224
2006-7-26	0.220
2006-7-27	0.265
2006-7-28	0.778
2006-7-29	0.526
2006-7-30	0.354
2006-7-31	0.273
2006-8-1	0.229
2006-8-2	0.198
2006-8-3	0.276
2006-8-4	0.447
2006-8-5	0.284
2006-8-6	0.215
2006-8-7	0.188
2006-8-8	0.164
2006-8-9	0.148
2006-8-10	0.146
2006-8-11	0.130
2006-8-12	0.126
2006-8-13	0.120
2006-8-14	0.119
2006-8-15	0.111
2006-8-16	0.111
2006-8-17	0.105
2006-8-18	0.102
2006-8-19	0.104
2006-8-20	0.099
2006-8-21	0.093
2006-8-22	0.086
2006-8-23	0.084
2006-8-24	0.084
2006-8-25	0.081
2006-8-26	0.080
2006-8-27	0.087
2006-8-28	0.190
2006-8-29	1.350
2006-8-30	0.616
2006-8-31	0.260
2006-9-1	0.199
2006-9-2	0.157
2006-9-3	0.126
2006-9-4	0.117
2006-9-5	0.106
2006-9-6	0.097
2006-9-7	0.093
2006-9-8	0.089
2006-9-9	0.094
2006-9-10	0.090
2006-9-11	0.085
2006-9-12	0.088
2006-9-13	0.089
2006-9-14	0.085
2006-9-15	0.078
2006-9-16	0.078
2006-9-17	0.092
2006-9-18	0.080
2006-9-19	0.084
2006-9-20	0.093
2006-9-21	0.109
2006-9-22	0.110
2006-9-23	0.126
2006-9-24	0.125
2006-9-25	0.119
