hour	cmmlPrcp
0.0 	0.0000
0.5 	0.0026
1.0 	0.0057
1.5 	0.0095
2.0 	0.0139
2.5 	0.0190
3.0 	0.0246
3.5 	0.0309
4.0 	0.0363
4.5 	0.0453
5.0 	0.0534
5.5 	0.0604
6.0 	0.0715
6.5 	0.0815
7.0 	0.0921
7.5 	0.1034
8.0 	0.1152
8.5 	0.1277
9.0 	0.1408
9.5 	0.1585
10.0 	0.1773
10.5 	0.1971
11.0 	0.2268
11.5 	0.2778
12.0 	0.4612
12.5 	0.7222
13.0 	0.7732
13.5 	0.8029
14.0 	0.8227
14.5 	0.8415
15.0 	0.8592
15.5 	0.8723
16.0 	0.8848
16.5 	0.8966
17.0 	0.9079
17.5 	0.9185
18.0 	0.9285
18.5 	0.9378
19.0 	0.9466
19.5 	0.9547
20.0 	0.9622
20.5 	0.9691
21.0 	0.9754
21.5 	0.9810
22.0 	0.9861
22.5 	0.9905
23.0 	0.9943
23.5 	0.9974
24.0 	1.0000
