	1	2	3	4	5	6	7
1	0.80	0.80	1.00	1.00	0.70	0.90	1.05
2	0.80	0.80	1.00	1.00	0.70	0.90	1.05
3	0.80	0.80	1.00	1.00	0.70	0.90	1.05
4	0.80	0.80	1.00	1.00	0.70	0.90	1.05
5	0.80	0.80	1.00	1.00	0.70	0.90	1.05
6	0.80	0.80	1.00	1.00	0.70	0.90	1.05
7	0.80	0.80	1.00	1.00	0.70	0.90	1.05
8	0.80	0.80	1.00	1.00	0.70	0.90	1.05
9	0.80	0.80	1.00	1.00	0.70	0.90	1.05
10	0.80	0.80	1.00	1.00	0.70	0.90	1.05
11	0.80	0.80	1.00	1.00	0.70	0.90	1.05
12	0.80	0.80	1.00	1.00	0.70	0.90	1.05
13	0.80	0.80	1.00	1.00	0.70	0.90	1.05
14	0.80	0.80	1.00	1.00	0.70	0.90	1.05
15	0.80	0.80	1.00	1.00	0.70	0.90	1.05
16	0.80	0.80	1.00	1.00	0.70	0.90	1.05
17	0.80	0.80	1.00	1.00	0.70	0.90	1.05
18	0.80	0.80	1.00	1.00	0.70	0.90	1.05
19	0.80	0.80	1.00	1.00	0.70	0.90	1.05
20	0.80	0.80	1.00	1.00	0.70	0.90	1.05
21	0.80	0.80	1.00	1.00	0.70	0.90	1.05
22	0.80	0.80	1.00	1.00	0.70	0.90	1.05
23	0.80	0.80	1.00	1.00	0.70	0.90	1.05
24	0.80	0.80	1.00	1.00	0.70	0.90	1.05
25	0.80	0.80	1.00	1.00	0.70	0.90	1.05
26	0.80	0.80	1.00	1.00	0.70	0.90	1.05
27	0.80	0.80	1.00	1.00	0.70	0.90	1.05
28	0.80	0.80	1.00	1.00	0.70	0.90	1.05
29	0.80	0.80	1.00	1.00	0.70	0.90	1.05
30	0.80	0.80	1.00	1.00	0.70	0.90	1.05
31	0.80	0.80	1.00	1.00	0.70	0.90	1.05
32	0.80	0.80	1.00	1.00	0.70	0.90	1.05
33	0.80	0.80	1.00	1.00	0.70	0.90	1.05
34	0.80	0.80	1.00	1.00	0.70	0.90	1.05
35	0.80	0.80	1.00	1.00	0.70	0.90	1.05
36	0.80	0.80	1.00	1.00	0.70	0.90	1.05
37	0.80	0.80	1.00	1.00	0.70	0.90	1.05
38	0.80	0.80	1.00	1.00	0.70	0.90	1.05
39	0.80	0.80	1.00	1.00	0.70	0.90	1.05
40	0.80	0.80	1.00	1.00	0.70	0.90	1.05
41	0.80	0.80	1.00	1.00	0.70	0.90	1.05
42	0.80	0.80	1.00	1.00	0.70	0.90	1.05
43	0.80	0.80	1.00	1.00	0.70	0.90	1.05
44	0.80	0.80	1.00	1.00	0.70	0.90	1.05
45	0.80	0.80	1.00	1.00	0.70	0.90	1.05
46	0.80	0.80	1.00	1.00	0.70	0.90	1.05
47	0.80	0.80	1.00	1.00	0.70	0.90	1.05
48	0.80	0.80	1.00	1.00	0.70	0.90	1.05
49	0.80	0.80	1.00	1.00	0.70	0.90	1.05
50	0.80	0.80	1.00	1.00	0.70	0.90	1.05
51	0.80	0.80	1.00	1.00	0.70	0.90	1.05
52	0.80	0.80	1.00	1.00	0.70	0.90	1.05
53	0.80	0.80	1.00	1.00	0.70	0.90	1.05
54	0.80	0.80	1.00	1.00	0.70	0.90	1.05
55	0.80	0.80	1.00	1.00	0.70	0.90	1.05
56	0.80	0.80	1.00	1.00	0.70	0.90	1.05
57	0.80	0.80	1.00	1.00	0.70	0.90	1.05
58	0.80	0.80	1.00	1.00	0.70	0.90	1.05
59	0.80	0.80	1.00	1.00	0.70	0.90	1.05
60	0.80	0.80	1.00	1.00	0.70	0.90	1.05
61	0.80	0.80	1.00	1.00	0.70	0.90	1.05
62	0.80	0.80	1.00	1.00	0.70	0.90	1.05
63	0.80	0.80	1.00	1.00	0.70	0.90	1.05
64	0.80	0.80	1.00	1.00	0.70	0.90	1.05
65	0.80	0.80	1.00	1.00	0.70	0.90	1.05
66	0.80	0.80	1.00	1.00	0.70	0.90	1.05
67	0.80	0.80	1.00	1.00	0.70	0.90	1.05
68	0.80	0.80	1.00	1.00	0.70	0.90	1.05
69	0.80	0.80	1.00	1.00	0.70	0.90	1.05
70	0.80	0.80	1.00	1.00	0.70	0.90	1.05
71	0.80	0.80	1.00	1.00	0.70	0.90	1.05
72	0.80	0.80	1.00	1.00	0.70	0.90	1.05
73	0.80	0.80	1.00	1.00	0.70	0.90	1.05
74	0.80	0.80	1.00	1.00	0.70	0.90	1.05
75	0.80	0.80	1.00	1.00	0.70	0.90	1.05
76	0.80	0.80	1.00	1.00	0.70	0.90	1.05
77	0.80	0.80	1.00	1.00	0.70	0.90	1.05
78	0.80	0.80	1.00	1.00	0.70	0.90	1.05
79	0.80	0.80	1.00	1.00	0.70	0.90	1.05
80	0.80	0.80	1.00	1.00	0.70	0.90	1.05
81	0.80	0.80	1.00	1.00	0.70	0.90	1.05
82	0.80	0.80	1.00	1.00	0.70	0.90	1.05
83	0.80	0.80	1.00	1.00	0.70	0.90	1.05
84	0.80	0.80	1.00	1.00	0.70	0.90	1.05
85	0.80	0.80	1.00	1.00	0.70	0.90	1.05
86	0.80	0.80	1.00	1.00	0.70	0.90	1.05
87	0.80	0.80	1.00	1.00	0.70	0.90	1.05
88	0.80	0.80	1.00	1.00	0.70	0.90	1.05
89	0.80	0.80	1.00	1.00	0.70	0.90	1.05
90	0.80	0.80	1.00	1.00	0.70	0.90	1.05
91	0.80	0.80	1.00	1.00	0.70	0.90	1.05
92	0.80	0.80	1.00	1.00	0.70	0.90	1.05
93	0.80	0.80	1.00	1.00	0.70	0.90	1.05
94	0.80	0.80	1.00	1.00	0.70	0.90	1.05
95	0.80	0.80	1.00	1.00	0.70	0.90	1.05
96	0.80	0.80	1.00	1.00	0.70	0.90	1.05
97	0.80	0.80	1.00	1.00	0.70	0.90	1.05
98	0.80	0.80	1.00	1.00	0.70	0.90	1.05
99	0.80	0.80	1.00	1.00	0.70	0.90	1.05
100	0.80	0.80	1.00	1.00	0.70	0.90	1.05
101	0.80	0.80	1.00	1.00	0.70	0.90	1.05
102	0.80	0.80	1.00	1.00	0.70	0.90	1.05
103	0.80	0.80	1.00	1.00	0.70	0.90	1.05
104	0.80	0.80	1.00	1.00	0.70	0.90	1.05
105	0.80	0.80	1.00	1.00	0.70	0.90	1.05
106	0.80	0.80	1.00	1.00	0.70	0.90	1.05
107	0.80	0.80	1.00	1.00	0.70	0.90	1.05
108	0.80	0.80	1.00	1.00	0.70	0.90	1.05
109	0.80	0.80	1.00	1.00	0.70	0.90	1.05
110	0.80	0.80	1.00	1.00	0.70	0.90	1.05
111	0.80	0.80	1.00	1.00	0.70	0.90	1.05
112	0.80	0.80	1.00	1.00	0.70	0.90	1.05
113	0.80	0.80	1.00	1.00	0.70	0.90	1.05
114	0.80	0.80	1.00	1.00	0.70	0.90	1.05
115	0.80	0.80	1.00	1.00	0.70	0.90	1.05
116	0.80	0.80	1.00	1.00	0.70	0.90	1.05
117	0.80	0.80	1.00	1.00	0.70	0.90	1.05
118	0.80	0.80	1.00	1.00	0.70	0.90	1.05
119	0.80	0.80	1.00	1.00	0.70	0.90	1.05
120	0.80	0.80	1.00	1.00	0.70	0.90	1.05
121	0.80	0.80	1.00	1.00	0.70	0.90	1.05
122	0.80	0.80	1.00	1.00	0.70	0.90	1.05
123	0.80	0.80	1.00	1.00	0.70	0.90	1.05
124	0.80	0.80	1.00	1.00	0.70	0.90	1.05
125	0.80	0.80	1.00	1.00	0.70	0.90	1.05
126	0.81	0.81	1.00	1.00	0.71	0.90	1.05
127	0.81	0.81	1.00	1.00	0.72	0.90	1.05
128	0.82	0.82	1.00	1.00	0.73	0.90	1.05
