	1	2	3	4	5	6	7
1	10.00	10.00	0.30	0.00	0.00	0.00	0.00
2	10.00	10.00	0.30	0.00	0.00	0.00	0.00
3	10.00	10.00	0.30	0.00	0.00	0.00	0.00
4	10.00	10.00	0.30	0.00	0.00	0.00	0.00
5	10.00	10.00	0.30	0.00	0.00	0.00	0.00
6	10.00	10.00	0.30	0.00	0.00	0.00	0.00
7	10.00	10.00	0.30	0.00	0.00	0.00	0.00
8	10.00	10.00	0.30	0.00	0.00	0.00	0.00
9	10.00	10.00	0.30	0.00	0.00	0.00	0.00
10	10.00	10.00	0.30	0.00	0.00	0.00	0.00
11	10.00	10.00	0.30	0.00	0.00	0.00	0.00
12	10.00	10.00	0.30	0.00	0.00	0.00	0.00
13	10.00	10.00	0.30	0.00	0.00	0.00	0.00
14	10.00	10.00	0.30	0.00	0.00	0.00	0.00
15	10.00	10.00	0.30	0.00	0.00	0.00	0.00
16	10.00	10.00	0.30	0.00	0.00	0.00	0.00
17	10.00	10.00	0.30	0.00	0.00	0.00	0.00
18	10.00	10.00	0.30	0.00	0.00	0.00	0.00
19	10.00	10.00	0.30	0.00	0.00	0.00	0.00
20	10.00	10.00	0.30	0.00	0.00	0.00	0.00
21	10.00	10.00	0.30	0.00	0.00	0.00	0.00
22	10.00	10.00	0.30	0.00	0.00	0.00	0.00
23	10.00	10.00	0.30	0.00	0.00	0.00	0.00
24	10.00	10.00	0.30	0.00	0.00	0.00	0.00
25	10.00	10.00	0.30	0.00	0.00	0.00	0.00
26	10.00	10.00	0.30	0.00	0.00	0.00	0.00
27	10.00	10.00	0.30	0.00	0.00	0.00	0.00
28	10.00	10.00	0.30	0.00	0.00	0.00	0.00
29	10.00	10.00	0.30	0.00	0.00	0.00	0.00
30	10.00	10.00	0.30	0.00	0.00	0.00	0.00
31	10.00	10.00	0.30	0.00	0.00	0.00	0.00
32	10.00	10.00	0.30	0.00	0.00	0.00	0.00
33	10.00	10.00	0.30	0.00	0.00	0.00	0.00
34	10.00	10.00	0.30	0.00	0.00	0.00	0.00
35	10.00	10.00	0.30	0.00	0.00	0.00	0.00
36	10.00	10.00	0.30	0.00	0.00	0.00	0.00
37	10.00	10.00	0.30	0.00	0.00	0.00	0.00
38	10.00	10.00	0.30	0.00	0.00	0.00	0.00
39	10.00	10.00	0.30	0.00	0.00	0.00	0.00
40	10.00	10.00	0.30	0.00	0.00	0.00	0.00
41	10.00	10.00	0.30	0.00	0.00	0.00	0.00
42	10.00	10.00	0.30	0.00	0.00	0.00	0.00
43	10.00	10.00	0.30	0.00	0.00	0.00	0.00
44	10.00	10.00	0.30	0.00	0.00	0.00	0.00
45	10.00	10.00	0.30	0.00	0.00	0.00	0.00
46	10.00	10.00	0.30	0.00	0.00	0.00	0.00
47	10.00	10.00	0.30	0.00	0.00	0.00	0.00
48	10.00	10.00	0.30	0.00	0.00	0.00	0.00
49	10.00	10.00	0.30	0.00	0.00	0.00	0.00
50	10.00	10.00	0.30	0.00	0.00	0.00	0.00
51	10.00	10.00	0.30	0.00	0.00	0.00	0.00
52	10.00	10.00	0.30	0.00	0.00	0.00	0.00
53	10.00	10.00	0.30	0.00	0.00	0.00	0.00
54	10.00	10.00	0.30	0.00	0.00	0.00	0.00
55	10.00	10.00	0.30	0.00	0.00	0.00	0.00
56	10.00	10.00	0.30	0.00	0.00	0.00	0.00
57	10.00	10.00	0.30	0.00	0.00	0.00	0.00
58	10.00	10.00	0.30	0.00	0.00	0.00	0.00
59	10.00	10.00	0.30	0.00	0.00	0.00	0.00
60	10.00	10.00	0.30	0.00	0.00	0.00	0.00
61	10.00	10.00	0.30	0.00	0.00	0.00	0.00
62	10.00	10.00	0.30	0.00	0.00	0.00	0.00
63	10.00	10.00	0.30	0.00	0.00	0.00	0.00
64	10.00	10.00	0.30	0.00	0.00	0.00	0.00
65	10.00	10.00	0.30	0.00	0.00	0.00	0.00
66	10.00	10.00	0.30	0.00	0.00	0.00	0.00
67	10.00	10.00	0.30	0.00	0.00	0.00	0.00
68	10.00	10.00	0.30	0.00	0.00	0.00	0.00
69	10.00	10.00	0.30	0.00	0.00	0.00	0.00
70	10.00	10.00	0.30	0.00	0.00	0.00	0.00
71	10.00	10.00	0.30	0.00	0.00	0.00	0.00
72	10.00	10.00	0.30	0.00	0.00	0.00	0.00
73	10.00	10.00	0.30	0.00	0.00	0.00	0.00
74	10.00	10.00	0.30	0.00	0.00	0.00	0.00
75	10.00	10.00	0.30	0.00	0.00	0.00	0.00
76	10.00	10.00	0.30	0.00	0.00	0.00	0.00
77	10.00	10.00	0.30	0.00	0.00	0.00	0.00
78	10.00	10.00	0.30	0.00	0.00	0.00	0.00
79	10.00	10.00	0.30	0.00	0.00	0.00	0.00
80	10.00	10.00	0.30	0.00	0.00	0.00	0.00
81	10.00	10.00	0.30	0.00	0.00	0.00	0.00
82	10.00	10.00	0.30	0.00	0.00	0.00	0.00
83	10.00	10.00	0.30	0.00	0.00	0.00	0.00
84	10.00	10.00	0.30	0.00	0.00	0.00	0.00
85	10.00	10.00	0.30	0.00	0.00	0.00	0.00
86	10.00	10.00	0.30	0.00	0.00	0.00	0.00
87	10.00	10.00	0.30	0.00	0.00	0.00	0.00
88	10.00	10.00	0.30	0.00	0.00	0.00	0.00
89	10.00	10.00	0.30	0.00	0.00	0.00	0.00
90	10.00	10.00	0.30	0.00	0.00	0.00	0.00
91	10.00	10.00	0.30	0.00	0.00	0.00	0.00
92	10.00	10.00	0.30	0.00	0.00	0.00	0.00
93	10.00	10.00	0.30	0.00	0.00	0.00	0.00
94	10.00	10.00	0.30	0.00	0.00	0.00	0.00
95	10.00	10.00	0.30	0.00	0.00	0.00	0.00
96	10.00	10.00	0.30	0.00	0.00	0.00	0.00
97	10.00	10.00	0.30	0.00	0.00	0.00	0.00
98	10.00	10.00	0.30	0.00	0.00	0.00	0.00
99	10.00	10.00	0.30	0.00	0.00	0.00	0.00
100	10.00	10.00	0.30	0.00	0.00	0.00	0.00
101	10.00	10.00	0.30	0.00	0.00	0.00	0.00
102	10.00	10.00	0.30	0.00	0.00	0.00	0.00
103	10.00	10.00	0.30	0.00	0.00	0.00	0.00
104	10.00	10.00	0.30	0.00	0.00	0.00	0.00
105	10.00	10.00	0.30	0.00	0.00	0.00	0.00
106	10.00	10.00	0.30	0.00	0.00	0.00	0.00
107	10.00	10.00	0.30	0.00	0.00	0.00	0.00
108	10.00	10.00	0.30	0.00	0.00	0.00	0.00
109	10.00	10.00	0.30	0.00	0.00	0.00	0.00
110	10.00	10.00	0.30	0.00	0.00	0.00	0.00
111	10.00	10.00	0.30	0.00	0.00	0.00	0.00
112	10.00	10.00	0.30	0.00	0.00	0.00	0.00
113	10.00	10.00	0.30	0.00	0.00	0.00	0.00
114	10.00	10.00	0.30	0.00	0.00	0.00	0.00
115	10.00	10.00	0.30	0.00	0.00	0.00	0.00
116	10.00	10.00	0.30	0.00	0.00	0.00	0.00
117	10.00	10.00	0.30	0.00	0.00	0.00	0.00
118	10.00	10.00	0.30	0.00	0.00	0.00	0.00
119	10.00	10.00	0.30	0.00	0.00	0.00	0.00
120	10.00	10.00	0.30	0.00	0.00	0.00	0.00
121	10.00	10.00	0.30	0.00	0.00	0.00	0.00
122	10.00	10.00	0.30	0.00	0.00	0.00	0.00
123	10.00	10.00	0.30	0.00	0.00	0.00	0.00
124	10.00	10.00	0.30	0.00	0.00	0.00	0.00
125	10.00	10.00	0.30	0.00	0.00	0.00	0.00
126	10.00	10.00	0.30	0.00	0.02	0.00	0.00
127	10.00	10.00	0.30	0.00	0.03	0.00	0.00
128	10.00	10.00	0.30	0.00	0.05	0.00	0.00
129	10.00	10.00	0.30	0.00	0.07	0.00	0.00
130	10.00	10.00	0.30	0.00	0.08	0.00	0.00
131	10.00	10.00	0.30	0.00	0.10	0.00	0.00
132	10.00	10.00	0.30	0.00	0.12	0.00	0.00
133	10.00	10.00	0.30	0.00	0.13	0.00	0.00
134	10.00	10.00	0.30	0.00	0.15	0.00	0.00
135	10.00	10.00	0.30	0.00	0.17	0.00	0.00
136	10.00	10.00	0.30	0.00	0.18	0.00	0.00
137	10.00	10.00	0.30	0.00	0.20	0.00	0.00
138	10.00	10.00	0.30	0.00	0.22	0.00	0.00
139	10.00	10.00	0.30	0.00	0.23	0.00	0.00
140	10.00	10.00	0.30	0.00	0.25	0.00	0.00
141	10.00	10.00	0.30	0.00	0.27	0.00	0.00
142	10.00	10.00	0.30	0.00	0.28	0.00	0.00
143	10.00	10.00	0.30	0.00	0.30	0.00	0.00
144	10.00	10.00	0.30	0.00	0.32	0.00	0.00
145	10.00	10.00	0.30	0.00	0.33	0.00	0.00
