date	RHU_ave
2016-1-1	63
2016-1-2	74
2016-1-3	90
2016-1-4	98
2016-1-5	95
2016-1-6	92
2016-1-7	91
2016-1-8	92
2016-1-9	96
2016-1-10	95
2016-1-11	87
2016-1-12	88
2016-1-13	87
2016-1-14	77
2016-1-15	71
2016-1-16	96
2016-1-17	74
2016-1-18	59
2016-1-19	49
2016-1-20	43
2016-1-21	62
2016-1-22	75
2016-1-23	38
2016-1-24	27
2016-1-25	41
2016-1-26	46
2016-1-27	47
2016-1-28	48
2016-1-29	68
2016-1-30	85
2016-1-31	87
2016-2-1	84
2016-2-2	64
2016-2-3	53
2016-2-4	56
2016-2-5	59
2016-2-6	31
2016-2-7	41
2016-2-8	42
2016-2-9	50
2016-2-10	57
2016-2-11	84
2016-2-12	93
2016-2-13	61
2016-2-14	52
2016-2-15	52
2016-2-16	47
2016-2-17	44
2016-2-18	52
2016-2-19	48
2016-2-20	36
2016-2-21	49
2016-2-22	79
2016-2-23	63
2016-2-24	57
2016-2-25	56
2016-2-26	52
2016-2-27	53
2016-2-28	52
2016-2-29	48
2016-3-1	42
2016-3-2	65
2016-3-3	73
2016-3-4	76
2016-3-5	67
2016-3-6	51
2016-3-7	83
2016-3-8	89
2016-3-9	73
2016-3-10	69
2016-3-11	57
2016-3-12	70
2016-3-13	69
2016-3-14	71
2016-3-15	51
2016-3-16	68
2016-3-17	75
2016-3-18	69
2016-3-19	60
2016-3-20	74
2016-3-21	54
2016-3-22	62
2016-3-23	48
2016-3-24	48
2016-3-25	49
2016-3-26	65
2016-3-27	45
2016-3-28	42
2016-3-29	51
2016-3-30	72
2016-3-31	70
2016-4-1	68
2016-4-2	74
2016-4-3	78
2016-4-4	66
2016-4-5	93
2016-4-6	99
2016-4-7	85
2016-4-8	87
2016-4-9	71
2016-4-10	69
2016-4-11	66
2016-4-12	70
2016-4-13	65
2016-4-14	64
2016-4-15	72
2016-4-16	79
2016-4-17	84
2016-4-18	69
2016-4-19	68
2016-4-20	95
2016-4-21	76
2016-4-22	69
2016-4-23	83
2016-4-24	75
2016-4-25	79
2016-4-26	96
2016-4-27	87
2016-4-28	73
2016-4-29	66
2016-4-30	63
2016-5-1	65
2016-5-2	80
2016-5-3	57
2016-5-4	57
2016-5-5	79
2016-5-6	79
2016-5-7	63
2016-5-8	89
2016-5-9	82
2016-5-10	86
2016-5-11	73
2016-5-12	51
2016-5-13	50
2016-5-14	90
2016-5-15	66
2016-5-16	47
2016-5-17	46
2016-5-18	53
2016-5-19	57
2016-5-20	86
2016-5-21	65
2016-5-22	67
2016-5-23	71
2016-5-24	64
2016-5-25	71
2016-5-26	67
2016-5-27	88
2016-5-28	79
2016-5-29	63
2016-5-30	66
2016-5-31	76
2016-6-1	79
2016-6-2	86
2016-6-3	71
2016-6-4	65
2016-6-5	70
2016-6-6	75
2016-6-7	77
2016-6-8	78
2016-6-9	66
2016-6-10	71
2016-6-11	66
2016-6-12	70
2016-6-13	67
2016-6-14	61
2016-6-15	47
2016-6-16	51
2016-6-17	49
2016-6-18	55
2016-6-19	75
2016-6-20	81
2016-6-21	78
2016-6-22	69
2016-6-23	74
2016-6-24	88
2016-6-25	76
2016-6-26	80
2016-6-27	76
2016-6-28	70
2016-6-29	78
2016-6-30	85
2016-7-1	81
2016-7-2	77
2016-7-3	81
2016-7-4	87
2016-7-5	74
2016-7-6	79
2016-7-7	76
