date	SSD
2016-1-1	0
2016-1-2	5.2
2016-1-3	4.1
2016-1-4	0
2016-1-5	0
2016-1-6	0
2016-1-7	0
2016-1-8	2.6
2016-1-9	0
2016-1-10	0
2016-1-11	0
2016-1-12	0
2016-1-13	4.2
2016-1-14	6.2
2016-1-15	8.2
2016-1-16	0
2016-1-17	6.6
2016-1-18	3.8
2016-1-19	7.2
2016-1-20	0
2016-1-21	6.6
2016-1-22	0
2016-1-23	8
2016-1-24	9.4
2016-1-25	8.7
2016-1-26	7.3
2016-1-27	0
2016-1-28	1.1
2016-1-29	0
2016-1-30	0
2016-1-31	0
2016-2-1	1.8
2016-2-2	6.7
2016-2-3	9
2016-2-4	4.6
2016-2-5	3.7
2016-2-6	9.7
2016-2-7	8.7
2016-2-8	9
2016-2-9	6.9
2016-2-10	0
2016-2-11	3.2
2016-2-12	0
2016-2-13	0
2016-2-14	0
2016-2-15	9.1
2016-2-16	6.8
2016-2-17	4.2
2016-2-18	6.8
2016-2-19	4.6
2016-2-20	9.3
2016-2-21	0
2016-2-22	0
2016-2-23	0
2016-2-24	8.6
2016-2-25	7.3
2016-2-26	8.3
2016-2-27	9.3
2016-2-28	5.9
2016-2-29	8.3
2016-3-1	6.9
2016-3-2	0
2016-3-3	8.3
2016-3-4	1.8
2016-3-5	3
2016-3-6	8
2016-3-7	0
2016-3-8	0
2016-3-9	0
2016-3-10	7.1
2016-3-11	8.9
2016-3-12	0
2016-3-13	4.4
2016-3-14	1.1
2016-3-15	0
2016-3-16	6.3
2016-3-17	0
2016-3-18	8
2016-3-19	8.8
2016-3-20	1.9
2016-3-21	0
2016-3-22	0
2016-3-23	0
2016-3-24	2.3
2016-3-25	0.7
2016-3-26	7.1
2016-3-27	9.8
2016-3-28	10.2
2016-3-29	0
2016-3-30	1
2016-3-31	8
2016-4-1	8.1
2016-4-2	2
2016-4-3	0
2016-4-4	7.4
2016-4-5	0
2016-4-6	0
2016-4-7	7.7
2016-4-8	3.9
2016-4-9	6.2
2016-4-10	9.8
2016-4-11	8.1
2016-4-12	7.2
2016-4-13	9.9
2016-4-14	4.2
2016-4-15	3.6
2016-4-16	5.5
2016-4-17	0
2016-4-18	10.5
2016-4-19	8.6
2016-4-20	0
2016-4-21	8.3
2016-4-22	4.9
2016-4-23	0
2016-4-24	0.5
2016-4-25	2.9
2016-4-26	0
2016-4-27	2.6
2016-4-28	10.7
2016-4-29	10.8
2016-4-30	10.6
2016-5-1	9.3
2016-5-2	0.6
2016-5-3	11.2
2016-5-4	10.8
2016-5-5	4.3
2016-5-6	0
2016-5-7	0
2016-5-8	0
2016-5-9	0
2016-5-10	8.5
2016-5-11	10.2
2016-5-12	4.5
2016-5-13	0
2016-5-14	0
2016-5-15	7.4
2016-5-16	10.1
2016-5-17	8.5
2016-5-18	3.7
2016-5-19	5.8
2016-5-20	0
2016-5-21	0
2016-5-22	1.6
2016-5-23	0
2016-5-24	10.7
2016-5-25	1.2
2016-5-26	0
2016-5-27	0
2016-5-28	0.3
2016-5-29	11.8
2016-5-30	11.1
2016-5-31	0
2016-6-1	0
2016-6-2	0
2016-6-3	2.4
2016-6-4	10.9
2016-6-5	9.3
2016-6-6	7.2
2016-6-7	0.6
2016-6-8	9
2016-6-9	10.2
2016-6-10	1.8
2016-6-11	0.9
2016-6-12	9.1
2016-6-13	6.3
2016-6-14	9.7
2016-6-15	0
2016-6-16	11.4
2016-6-17	11.8
2016-6-18	10.2
2016-6-19	10.7
2016-6-20	0
2016-6-21	1.7
2016-6-22	10.5
2016-6-23	6.7
2016-6-24	0
2016-6-25	1.4
2016-6-26	0
2016-6-27	10.6
2016-6-28	11.4
2016-6-29	6.7
2016-6-30	0
2016-7-1	5.8
2016-7-2	0.9
2016-7-3	0
2016-7-4	1.8
2016-7-5	9.6
2016-7-6	3.7
2016-7-7	5.9
2016-7-8	3
2016-7-9	8.3
2016-7-10	8.9
2016-7-11	6.6
2016-7-12	7
2016-7-13	11.6
2016-7-14	1.1
2016-7-15	3.9
2016-7-16	5.8
2016-7-17	7
2016-7-18	4.6
2016-7-19	0
2016-7-20	4.4
2016-7-21	5.6
2016-7-22	10.2
2016-7-23	11.4
2016-7-24	12.3
2016-7-25	11.4
2016-7-26	10.6
2016-7-27	9.2
2016-7-28	12.3
2016-7-29	11.8
2016-7-30	12
2016-7-31	12.5
2016-8-1	9.8
2016-8-2	10.2
2016-8-3	0
2016-8-4	0
2016-8-5	0
2016-8-6	3.3
2016-8-7	0.7
2016-8-8	2.7
2016-8-9	2.7
2016-8-10	3
2016-8-11	4.7
2016-8-12	9.9
2016-8-13	4.5
2016-8-14	10.5
2016-8-15	11.3
2016-8-16	4.6
2016-8-17	5.5
2016-8-18	9.4
2016-8-19	4.6
2016-8-20	7
2016-8-21	10.5
2016-8-22	0.7
2016-8-23	4.7
2016-8-24	7.6
2016-8-25	7.3
2016-8-26	0
2016-8-27	6.5
2016-8-28	9.1
2016-8-29	10.6
2016-8-30	0.7
2016-8-31	7.7
2016-9-1	10.4
2016-9-2	10.7
2016-9-3	0.4
2016-9-4	7.5
2016-9-5	0
2016-9-6	4.1
2016-9-7	10.2
2016-9-8	9.8
2016-9-9	2.3
2016-9-10	9.4
2016-9-11	10.4
2016-9-12	5.5
2016-9-13	0
2016-9-14	6.5
2016-9-15	1.4
2016-9-16	9.4
2016-9-17	9.6
2016-9-18	8.3
2016-9-19	0
2016-9-20	8.2
2016-9-21	3.2
2016-9-22	9.7
2016-9-23	7.8
2016-9-24	0
2016-9-25	0
2016-9-26	0
2016-9-27	0
2016-9-28	0
2016-9-29	0
2016-9-30	1.1
2016-10-1	0
2016-10-2	8.8
2016-10-3	9.8
2016-10-4	10
2016-10-5	7.7
2016-10-6	3.3
2016-10-7	1.5
2016-10-8	0
2016-10-9	0
2016-10-10	0
2016-10-11	0
2016-10-12	0
2016-10-13	0
2016-10-14	0
2016-10-15	0
2016-10-16	9.2
2016-10-17	6.9
2016-10-18	8.6
2016-10-19	5.3
2016-10-20	0
2016-10-21	0
2016-10-22	0
2016-10-23	0
2016-10-24	0
2016-10-25	0
2016-10-26	0
2016-10-27	0
2016-10-28	0
2016-10-29	0.8
2016-10-30	2.2
2016-10-31	0.5
2016-11-1	0
2016-11-2	2.7
2016-11-3	6.5
2016-11-4	5.7
2016-11-5	9.7
2016-11-6	0
2016-11-7	0
2016-11-8	0
2016-11-9	0
2016-11-10	9.1
2016-11-11	6
2016-11-12	6.6
2016-11-13	3.2
2016-11-14	0
2016-11-15	0
2016-11-16	0
2016-11-17	0
2016-11-18	0
2016-11-19	1.2
2016-11-20	1.9
2016-11-21	0
2016-11-22	0
2016-11-23	0
2016-11-24	0
2016-11-25	0
2016-11-26	7
2016-11-27	7.3
2016-11-28	3.9
2016-11-29	0
2016-11-30	7.4
2016-12-1	1.2
2016-12-2	2.8
2016-12-3	2.8
2016-12-4	7
2016-12-5	5.3
2016-12-6	7.2
2016-12-7	8
2016-12-8	6.6
2016-12-9	0
2016-12-10	0
2016-12-11	0
2016-12-12	0
2016-12-13	0
2016-12-14	0
2016-12-15	0
2016-12-16	6.1
2016-12-17	5.4
2016-12-18	0
2016-12-19	0
2016-12-20	0
2016-12-21	0
2016-12-22	8.9
2016-12-23	0
2016-12-24	0
2016-12-25	0
2016-12-26	0
2016-12-27	8.7
2016-12-28	2.8
2016-12-29	0
2016-12-30	0
2016-12-31	4.8
