date	WIN_ave	WIN_max	WIN_max_dir
2016-1-1	1	2.8	6
2016-1-2	2.4	3	6
2016-1-3	0.6	2.2	7
2016-1-4	1.2	2.7	16
2016-1-5	1.8	3.8	2
2016-1-6	1.6	3.2	16
2016-1-7	1	2.2	13
2016-1-8	0.6	2.4	13
2016-1-9	0.8	2.8	6
2016-1-10	0.9	2.1	15
2016-1-11	2.7	4.6	2
2016-1-12	1.6	2.5	3
2016-1-13	0.1	2.3	11
2016-1-14	0.8	2.4	12
2016-1-15	1.6	3.1	7
2016-1-16	1.8	2.8	7
2016-1-17	1	3.6	2
2016-1-18	1.2	4.3	2
2016-1-19	0.9	2.3	6
2016-1-20	1.4	3.3	2
2016-1-21	1.3	4.1	6
2016-1-22	2.4	5.8	3
2016-1-23	1.8	4.8	16
2016-1-24	2	6	11
2016-1-25	1.8	4	13
2016-1-26	1.2	3	9
2016-1-27	1.6	3.1	6
2016-1-28	1.7	3	3
2016-1-29	1.9	4	4
2016-1-30	1.3	2.2	2
2016-1-31	2.5	4.3	2
2016-2-1	0.7	2.6	16
2016-2-2	0.9	1.8	10
2016-2-3	1	2.5	6
2016-2-4	0.8	1.5	11
2016-2-5	1.4	3.7	4
2016-2-6	1.3	3.9	15
2016-2-7	2	3.9	16
2016-2-8	1.4	3.4	9
2016-2-9	1.2	3.2	6
2016-2-10	2.2	3.9	6
2016-2-11	1.1	1.8	5
2016-2-12	1.6	4.5	16
2016-2-13	2.5	5.4	15
2016-2-14	1.1	4.6	1
2016-2-15	1.3	4	14
2016-2-16	1.3	3.7	15
2016-2-17	0.8	2.2	8
2016-2-18	1	2.5	8
2016-2-19	1.5	3.8	2
2016-2-20	1.1	4	2
2016-2-21	2.5	4.4	6
2016-2-22	0.8	3.1	14
2016-2-23	1.4	4.3	2
2016-2-24	1	2.2	6
2016-2-25	1.6	3.5	10
2016-2-26	1.5	3.7	9
2016-2-27	2.2	3.8	8
2016-2-28	1.7	3.9	2
2016-2-29	1.3	3.5	5
2016-3-1	1.5	3.3	6
2016-3-2	1	3.3	12
2016-3-3	0.7	3.2	7
2016-3-4	1.8	3.1	9
2016-3-5	1.6	3.8	15
2016-3-6	2.1	4.8	10
2016-3-7	2	4.6	2
2016-3-8	3.3	5.4	2
2016-3-9	1.6	4.5	2
2016-3-10	1	3.1	15
2016-3-11	2	4.3	11
2016-3-12	1.9	3.6	9
2016-3-13	1.5	4.5	3
2016-3-14	1.3	2.9	9
2016-3-15	1.2	2.7	8
2016-3-16	0.9	3.1	13
2016-3-17	0.7	2.8	12
2016-3-18	0.8	3.1	12
2016-3-19	2	3	6
2016-3-20	2.1	4.4	2
2016-3-21	1.4	3.1	15
2016-3-22	1.3	3.7	13
2016-3-23	2.3	4.6	4
2016-3-24	1.1	3.4	15
2016-3-25	1.3	3.1	5
2016-3-26	1.9	5.2	1
2016-3-27	1.4	3.3	13
2016-3-28	2.8	5.7	11
2016-3-29	1.7	3.6	9
2016-3-30	1.4	2.8	7
2016-3-31	2.1	4.6	11
2016-4-1	2	3.5	7
2016-4-2	1.8	3.4	3
2016-4-3	2.1	5.2	2
2016-4-4	1	2.5	5
2016-4-5	1.6	2.8	6
2016-4-6	1.8	4.1	16
2016-4-7	0.7	2.3	13
2016-4-8	1.2	2.3	12
2016-4-9	1.3	2.4	14
2016-4-10	1.1	3.1	14
2016-4-11	1.5	3.5	6
2016-4-12	1.5	3	7
2016-4-13	0.8	3.4	1
2016-4-14	1	2.4	15
2016-4-15	1.9	4.1	7
2016-4-16	2.5	7.3	14
2016-4-17	1.5	5.1	6
2016-4-18	3.1	4.9	10
2016-4-19	2.6	4.3	9
2016-4-20	1.5	2.6	16
2016-4-21	1.8	3.8	11
2016-4-22	1.6	2.9	9
2016-4-23	2.1	3.7	16
2016-4-24	1.6	3.4	5
2016-4-25	0.7	1.9	15
2016-4-26	0.8	2.3	15
2016-4-27	0.9	2.3	3
2016-4-28	1.3	3	16
2016-4-29	2.4	4.2	10
2016-4-30	2.9	4.7	9
2016-5-1	2.5	4	11
2016-5-2	1.7	6.1	13
2016-5-3	2	4	9
2016-5-4	3.1	5.7	9
2016-5-5	2.2	4.1	8
2016-5-6	1.8	3.6	3
2016-5-7	1.6	5.2	16
2016-5-8	2.7	3.8	16
2016-5-9	1.2	2.4	11
2016-5-10	1.3	3.2	8
2016-5-11	3.1	5.4	8
2016-5-12	2.4	4.9	3
