DayofYear	c_Ia
1	0.12
2	0.12
3	0.12
4	0.12
5	0.12
6	0.12
7	0.12
8	0.12
9	0.12
10	0.12
11	0.12
12	0.12
13	0.12
14	0.12
15	0.12
16	0.12
17	0.12
18	0.12
19	0.12
20	0.12
21	0.12
22	0.12
23	0.12
24	0.12
25	0.12
26	0.12
27	0.12
28	0.12
29	0.12
30	0.12
31	0.12
32	0.12
33	0.12
34	0.12
35	0.12
36	0.12
37	0.12
38	0.12
39	0.12
40	0.12
41	0.12
42	0.12
43	0.12
44	0.12
45	0.12
46	0.12
47	0.12
48	0.12
49	0.12
50	0.12
51	0.12
52	0.12
53	0.12
54	0.12
55	0.12
56	0.12
57	0.12
58	0.12
59	0.12
60	0.12
61	0.12
62	0.12
63	0.12
64	0.12
65	0.12
66	0.12
67	0.12
68	0.12
69	0.12
70	0.12
71	0.12
72	0.12
73	0.12
74	0.12
75	0.12
76	0.12
77	0.12
78	0.12
79	0.12
80	0.12
81	0.12
82	0.12
83	0.12
84	0.12
85	0.12
86	0.12
87	0.12
88	0.12
89	0.12
90	0.12
91	0.12
92	0.12
93	0.12
94	0.12
95	0.12
96	0.12
97	0.12
98	0.12
99	0.12
100	0.12
101	0.12
102	0.12
103	0.12
104	0.12
105	0.12
106	0.12
107	0.12
108	0.12
109	0.12
110	0.12
111	0.12
112	0.12
113	0.12
114	0.12
115	0.12
116	0.12
117	0.12
118	0.12
119	0.12
120	0.12
121	0.12
122	0.12
123	0.12
124	0.12
125	0.12
126	0.12
127	0.12
128	0.12
129	0.12
130	0.12
131	0.13
132	0.13
133	0.13
134	0.13
135	0.13
136	0.13
137	0.13
138	0.13
139	0.13
140	0.13
141	0.13
142	0.14
143	0.14
144	0.14
145	0.14
146	0.14
147	0.14
148	0.14
149	0.14
150	0.14
151	0.14
152	0.14
153	0.14
154	0.15
155	0.15
156	0.15
157	0.15
158	0.15
159	0.15
160	0.15
161	0.15
162	0.15
163	0.15
164	0.15
165	0.16
166	0.16
167	0.16
168	0.16
169	0.16
170	0.16
171	0.16
172	0.16
173	0.16
174	0.16
175	0.16
176	0.16
177	0.16
178	0.16
179	0.16
180	0.16
181	0.16
182	0.16
183	0.16
184	0.16
185	0.16
186	0.16
187	0.16
188	0.16
189	0.16
190	0.16
191	0.16
192	0.16
193	0.16
194	0.16
195	0.16
196	0.16
197	0.16
198	0.16
199	0.16
200	0.16
201	0.16
202	0.16
203	0.16
204	0.16
205	0.16
206	0.16
207	0.16
208	0.16
209	0.16
210	0.16
211	0.16
212	0.16
213	0.16
214	0.16
215	0.16
216	0.16
217	0.16
218	0.16
219	0.16
220	0.16
221	0.16
222	0.16
223	0.16
224	0.16
225	0.16
226	0.16
227	0.16
228	0.16
229	0.16
230	0.16
231	0.16
232	0.16
233	0.16
234	0.16
235	0.16
236	0.16
237	0.16
238	0.16
239	0.16
240	0.16
241	0.16
242	0.16
243	0.16
244	0.16
245	0.16
246	0.16
247	0.16
248	0.16
249	0.16
250	0.16
251	0.16
252	0.16
253	0.16
254	0.16
255	0.16
256	0.16
257	0.16
258	0.16
259	0.16
260	0.16
261	0.16
262	0.16
263	0.16
264	0.16
265	0.16
266	0.16
267	0.16
268	0.16
269	0.16
270	0.16
271	0.16
272	0.15
273	0.15
274	0.15
275	0.15
276	0.14
277	0.14
278	0.14
279	0.14
280	0.13
281	0.13
282	0.13
283	0.13
284	0.12
285	0.12
286	0.12
287	0.12
288	0.12
289	0.12
290	0.12
291	0.12
292	0.12
293	0.12
294	0.12
295	0.12
296	0.12
297	0.12
298	0.12
299	0.12
300	0.12
301	0.12
302	0.12
303	0.12
304	0.12
305	0.12
306	0.12
307	0.12
308	0.12
309	0.12
310	0.12
311	0.12
312	0.12
313	0.12
314	0.12
315	0.12
316	0.12
317	0.12
318	0.12
319	0.12
320	0.12
321	0.12
322	0.12
323	0.12
324	0.12
325	0.12
326	0.12
327	0.12
328	0.12
329	0.12
330	0.12
331	0.12
332	0.12
333	0.12
334	0.12
335	0.12
336	0.12
337	0.12
338	0.12
339	0.12
340	0.12
341	0.12
342	0.12
343	0.12
344	0.12
345	0.12
346	0.12
347	0.12
348	0.12
349	0.12
350	0.12
351	0.12
352	0.12
353	0.12
354	0.12
355	0.12
356	0.12
357	0.12
358	0.12
359	0.12
360	0.12
361	0.12
362	0.12
363	0.12
364	0.12
365	0.12
366	0.12
