value	HSG	Soil_z(m)	Soil_k(m/day)	Pe	Pt
7	2	1.310	2.525	0.26	0.40
1	3	1.437	0.925	0.25	0.40
2	1	2.035	4.377	0.30	0.39
10	4	0.025	14.630	0.28	0.40
3	2	1.590	1.869	0.25	0.40
6	2	1.539	1.864	0.26	0.40
4	2	0.789	3.263	0.29	0.40
5	2	1.297	3.943	0.28	0.40
8	2	1.654	3.712	0.27	0.40
9	3	0.356	0.297	0.19	0.41
16	3	0.941	0.605	0.24	0.40
13	3	0.789	0.525	0.22	0.41
11	4	1.476	3.442	0.28	0.40
15	3	0.305	0.383	0.24	0.41
12	3	0.789	0.525	0.22	0.41
19	3	0.941	0.605	0.27	0.40
14	4	1.608	3.808	0.26	0.41
17	3	0.305	0.383	0.24	0.41
18	3	1.247	1.420	0.24	0.40
