date	TEM_max	TEM_min
2003-1-1	19.4	11.1
2003-1-2	14.4	4.4
2003-1-3	17.8	5.6
2003-1-4	13.3	-1.7
2003-1-5	14.4	2.2
2003-1-6	16.1	4.4
2003-1-7	13.3	-1.7
2003-1-8	11.1	-1.7
2003-1-9	16.7	1.7
2003-1-10	20.6	7.2
2003-1-11	17.2	-0.6
2003-1-12	10	0
2003-1-13	5	2.2
2003-1-14	8.9	0
2003-1-15	14.4	0.6
2003-1-16	11.1	-2.2
2003-1-17	15.6	-2.8
2003-1-18	8.3	-5.6
2003-1-19	7.2	-5.6
2003-1-20	10	-1.1
2003-1-21	17.8	5.6
2003-1-22	20.6	13.3
2003-1-23	16.1	-0.6
2003-1-24	2.8	-10
2003-1-25	3.3	-7.2
2003-1-26	5.6	-6.1
2003-1-27	11.7	-1.1
2003-1-28	8.9	-3.3
2003-1-29	14.4	7.2
2003-1-30	21.7	8.3
2003-1-31	16.1	6.1
2003-2-1	15.6	5.6
2003-2-2	18.3	4.4
2003-2-3	20.6	3.9
2003-2-4	20.6	15
2003-2-5	16.7	1.1
2003-2-6	14.4	6.1
2003-2-7	15.6	3.3
2003-2-8	15.6	2.2
2003-2-9	14.4	1.7
2003-2-10	13.9	2.2
2003-2-11	16.7	0.6
2003-2-12	14.4	1.1
2003-2-13	19.4	1.1
2003-2-14	17.8	4.4
2003-2-15	18.3	5.6
2003-2-16	21.1	8.9
2003-2-17	24.4	3.3
2003-2-18	7.8	2.8
2003-2-19	11.1	1.1
2003-2-20	18.3	7.2
2003-2-21	17.8	8.3
2003-2-22	16.7	8.9
2003-2-23	18.3	5
2003-2-24	21.1	3.9
2003-2-25	21.1	4.4
2003-2-26	21.7	6.7
2003-2-27	20.6	7.8
2003-2-28	12.2	5.6
2003-3-1	13.9	5.6
2003-3-2	15.6	5
2003-3-3	14.4	5
2003-3-4	15.6	5
2003-3-5	14.4	7.2
2003-3-6	23.3	19.4
2003-3-7	23.9	12.2
2003-3-8	20	8.3
2003-3-9	19.4	8.9
2003-3-10	21.1	10
2003-3-11	23.9	7.2
2003-3-12	22.2	8.9
2003-3-13	26.1	7.2
2003-3-14	27.2	7.2
2003-3-15	20	8.9
2003-3-16	21.1	11.1
2003-3-17	22.8	12.2
2003-3-18	17.8	8.3
2003-3-19	22.8	7.8
2003-3-20	26.1	17.2
2003-3-21	27.8	15.6
2003-3-22	23.9	11.7
2003-3-23	25	8.9
2003-3-24	25.6	10.6
2003-3-25	25.6	9.4
2003-3-26	25.6	8.3
2003-3-27	25.6	13.9
2003-3-28	25	12.2
2003-3-29	26.7	10
2003-3-30	23.3	7.2
2003-3-31	14.4	2.2
2003-4-1	14.4	2.8
2003-4-2	21.7	7.2
2003-4-3	23.9	7.2
2003-4-4	25.6	11.1
2003-4-5	27.2	8.9
2003-4-6	28	13.1
2003-4-7	28.9	17.2
2003-4-8	27.2	17.2
2003-4-9	18.3	11.7
2003-4-10	17.8	7.2
2003-4-11	17.8	6.1
2003-4-12	22.5	6.7
2003-4-13	22.5	6.7
2003-4-14	27.2	7.2
2003-4-15	29.4	12.8
2003-4-16	29.4	13.3
2003-4-17	29.4	15.6
2003-4-18	27.2	16.1
2003-4-19	28.3	15.6
2003-4-20	27.5	14.4
2003-4-21	26.7	13.3
2003-4-22	27.2	15
2003-4-23	27.2	10
2003-4-24	25.6	10.6
2003-4-25	24.4	9.4
