The groundwater flow (cms) at the sub/watershed outlet(s) is simulated by DHM-WM global water balance routine as below:
date	I	K	J
2003-01-01	0.1012	0.0540	0.0014
2003-01-02	0.1664	0.0917	0.0025
2003-01-03	0.1448	0.0798	0.0022
2003-01-04	0.1255	0.0692	0.0019
2003-01-05	0.1088	0.0600	0.0016
2003-01-06	0.0943	0.0520	0.0014
2003-01-07	0.0817	0.0450	0.0012
2003-01-08	0.0708	0.0390	0.0011
2003-01-09	0.0614	0.0338	0.0009
2003-01-10	0.0532	0.0293	0.0008
2003-01-11	0.0461	0.0254	0.0007
2003-01-12	0.0400	0.0220	0.0006
2003-01-13	0.0346	0.0191	0.0005
2003-01-14	0.0300	0.0165	0.0005
2003-01-15	0.0260	0.0143	0.0004
2003-01-16	0.0225	0.0124	0.0003
2003-01-17	0.0199	0.0110	0.0003
2003-01-18	0.0172	0.0095	0.0003
2003-01-19	0.0149	0.0083	0.0002
2003-01-20	0.0129	0.0072	0.0002
2003-01-21	0.0112	0.0062	0.0002
2003-01-22	0.0097	0.0054	0.0001
2003-01-23	0.0110	0.0063	0.0001
2003-01-24	0.0095	0.0055	0.0001
2003-01-25	0.0082	0.0047	0.0001
2003-01-26	0.0071	0.0041	0.0001
2003-01-27	0.0062	0.0036	0.0001
2003-01-28	0.0054	0.0031	0.0001
2003-01-29	0.0046	0.0027	0.0001
2003-01-30	0.0040	0.0023	0.0001
2003-01-31	0.0038	0.0022	0.0000
2003-02-01	0.0033	0.0019	0.0000
2003-02-02	0.0028	0.0017	0.0000
2003-02-03	0.0025	0.0014	0.0000
2003-02-04	0.0021	0.0012	0.0000
2003-02-05	0.0021	0.0012	0.0000
2003-02-06	0.0018	0.0011	0.0000
2003-02-07	0.2633	0.1466	0.0036
2003-02-08	0.2282	0.1271	0.0031
2003-02-09	0.1978	0.1101	0.0027
2003-02-10	0.1714	0.0954	0.0023
2003-02-11	0.2086	0.1175	0.0028
2003-02-12	0.1808	0.1019	0.0024
2003-02-13	0.1567	0.0883	0.0021
2003-02-14	0.1358	0.0765	0.0018
2003-02-15	0.1177	0.0663	0.0016
2003-02-16	0.1020	0.0575	0.0014
2003-02-17	0.4082	0.2257	0.0055
2003-02-18	0.3538	0.1956	0.0048
2003-02-19	0.3066	0.1695	0.0042
2003-02-20	0.2657	0.1469	0.0036
2003-02-21	0.2303	0.1273	0.0031
2003-02-22	0.1996	0.1104	0.0027
2003-02-23	0.4791	0.2646	0.0066
2003-02-24	0.4153	0.2293	0.0057
2003-02-25	0.3599	0.1988	0.0050
2003-02-26	0.3119	0.1723	0.0043
2003-02-27	0.4020	0.2260	0.0053
2003-02-28	0.6175	0.3446	0.0083
2003-03-01	0.5352	0.2987	0.0072
2003-03-02	0.7978	0.4428	0.0108
2003-03-03	0.7227	0.4017	0.0098
2003-03-04	0.6814	0.3801	0.0093
2003-03-05	0.6704	0.3758	0.0092
2003-03-06	0.5817	0.3262	0.0080
2003-03-07	0.5338	0.2997	0.0074
2003-03-08	0.7714	0.4308	0.0108
2003-03-09	0.6685	0.3734	0.0094
2003-03-10	0.6481	0.3636	0.0091
2003-03-11	0.5617	0.3151	0.0079
2003-03-12	0.4868	0.2731	0.0068
2003-03-13	0.4219	0.2367	0.0059
2003-03-14	0.4127	0.2323	0.0058
2003-03-15	0.3577	0.2014	0.0050
2003-03-16	0.5132	0.2902	0.0071
2003-03-17	0.4448	0.2515	0.0061
2003-03-18	0.7164	0.4001	0.0098
2003-03-19	0.6209	0.3468	0.0085
2003-03-20	0.6009	0.3371	0.0082
