The average c_Ia, ET, Fc, M_relative and TmpSoil values are estimated by DHM-WM global water balance routine as below:
date	c_Ia	ET(mm)	Fc(mm)	M_rel	TmpSoil(C)
20030101	0.059	1.35	0.33	0.80	11.24
20030102	0.065	1.16	0.02	0.81	11.87
20030103	0.000	1.38	0.00	0.80	12.51
20030104	0.000	1.22	0.00	0.80	12.64
20030105	0.000	1.22	0.00	0.79	12.91
20030106	0.000	1.28	0.00	0.79	13.24
20030107	0.000	1.22	0.00	0.78	13.21
20030108	0.000	1.07	0.00	0.78	13.12
20030109	0.000	1.40	0.00	0.77	13.33
20030110	0.000	1.57	0.00	0.77	13.81
20030111	0.000	1.48	0.00	0.77	13.82
20030112	0.000	0.97	0.00	0.76	13.61
20030113	0.000	0.49	0.00	0.76	13.35
20030114	0.000	0.91	0.00	0.76	13.19
20030115	0.000	1.30	0.00	0.76	13.27
20030116	0.081	1.16	0.05	0.76	13.12
20030117	0.000	1.45	0.00	0.75	13.14
20030118	0.000	0.99	0.00	0.75	12.81
20030119	0.000	0.93	0.00	0.75	12.50
20030120	0.000	1.04	0.00	0.75	12.50
20030121	0.000	1.47	0.00	0.75	12.99
20030122	0.083	1.43	0.11	0.74	13.74
20030123	0.000	1.50	0.00	0.75	13.72
20030124	0.000	0.73	0.00	0.74	12.92
20030125	0.000	0.74	0.00	0.74	12.40
20030126	0.000	0.87	0.00	0.74	12.09
20030127	0.000	1.21	0.00	0.74	12.22
20030128	0.000	1.06	0.00	0.74	12.15
20030129	0.000	1.14	0.00	0.73	12.64
20030130	0.085	1.89	0.06	0.73	13.33
20030131	0.000	1.38	0.00	0.73	13.60
20030201	0.000	1.36	0.00	0.73	13.79
20030202	0.000	1.66	0.00	0.73	13.99
20030203	0.000	1.89	0.00	0.72	14.21
20030204	0.086	1.40	0.06	0.72	14.77
20030205	0.000	1.64	0.00	0.72	14.60
20030206	0.086	1.40	4.57	0.72	14.55
20030207	0.078	1.56	0.00	0.75	14.48
20030208	0.000	1.58	0.00	0.74	14.38
20030209	0.080	1.53	0.00	0.74	14.25
20030210	0.080	1.58	0.40	0.74	14.13
20030211	0.000	1.76	0.00	0.75	14.09
20030212	0.000	1.55	0.00	0.74	13.99
20030213	0.000	2.02	0.00	0.74	14.08
20030214	0.000	1.79	0.00	0.73	14.21
20030215	0.000	1.80	0.00	0.73	14.37
20030216	0.081	2.16	7.25	0.73	14.70
20030217	0.073	2.58	0.00	0.76	14.90
20030218	0.000	0.91	0.00	0.75	14.49
20030219	0.000	1.34	0.00	0.75	14.21
20030220	0.000	1.82	0.00	0.75	14.43
20030221	0.000	1.71	0.00	0.74	14.62
20030222	0.079	1.68	6.22	0.74	14.76
20030223	0.073	2.00	0.00	0.77	14.81
20030224	0.000	2.34	0.00	0.76	14.90
20030225	0.000	2.34	0.00	0.76	14.98
20030226	0.078	2.52	1.19	0.75	15.15
20030227	0.075	2.34	4.69	0.76	15.28
20030228	0.000	1.32	0.00	0.78	15.05
20030301	0.075	1.64	7.28	0.77	14.91
20030302	0.070	1.87	0.34	0.80	14.86
20030303	0.073	1.75	0.40	0.80	14.77
20030304	0.073	1.92	0.66	0.80	14.74
20030305	0.073	1.57	0.06	0.80	14.75
20030306	0.075	1.63	0.33	0.79	15.43
20030307	0.075	2.65	5.27	0.79	15.77
20030308	0.072	2.25	0.01	0.80	15.78
20030309	0.075	2.26	0.49	0.79	15.80
20030310	0.000	2.31	0.00	0.79	15.90
20030311	0.000	2.85	0.00	0.79	15.98
20030312	0.000	2.54	0.00	0.78	16.04
20030313	0.079	3.31	0.35	0.77	16.16
20030314	0.078	3.33	0.02	0.77	16.29
20030315	0.079	2.45	2.92	0.77	16.22
20030316	0.075	2.33	0.02	0.78	16.27
20030317	0.077	2.66	7.37	0.78	16.40
20030318	0.071	2.11	0.04	0.80	16.22
20030319	0.074	2.97	0.45	0.79	16.22
20030320	0.074	2.79	8.24	0.79	16.63
20030321	0.000	3.14	0.00	0.81	16.96
20030322	0.000	2.82	0.00	0.80	16.97
20030323	0.000	3.16	0.00	0.79	16.93
20030324	0.000	3.15	0.00	0.78	16.96
20030325	0.000	3.23	0.00	0.77	16.96
20030326	0.000	3.29	0.00	0.77	16.91
20030327	0.000	2.94	0.00	0.76	17.07
20030328	0.000	2.99	0.00	0.75	17.11
20030329	0.000	3.42	0.00	0.75	17.13
20030330	0.085	3.33	0.43	0.74	16.93
20030331	0.000	2.12	0.00	0.75	16.31
20030401	0.000	2.10	0.00	0.74	15.82
20030402	0.000	2.89	0.00	0.74	15.83
20030403	0.000	3.21	0.00	0.73	15.92
20030404	0.000	3.26	0.00	0.73	16.17
20030405	0.087	3.70	0.04	0.72	16.36
20030406	0.000	3.53	0.00	0.72	16.68
20030407	0.088	3.71	4.30	0.71	17.12
20030408	0.081	3.37	8.59	0.73	17.40
20030409	0.070	2.24	2.10	0.78	17.14
20030410	0.071	2.58	0.39	0.79	16.78
20030411	0.000	2.54	0.00	0.79	16.45
20030412	0.000	3.23	0.00	0.78	16.35
20030413	0.000	3.23	0.00	0.77	16.28
20030414	0.000	3.93	0.00	0.77	16.39
20030415	0.000	4.02	0.00	0.76	16.73
20030416	0.000	4.00	0.00	0.75	17.03
20030417	0.083	3.85	0.02	0.74	17.35
20030418	0.000	3.35	0.00	0.74	17.55
20030419	0.000	3.61	0.00	0.73	17.73
20030420	0.000	3.57	0.00	0.72	17.80
20030421	0.000	3.51	0.00	0.72	17.80
20030422	0.000	3.45	0.00	0.71	17.88
20030423	0.000	3.82	0.00	0.70	17.76
20030424	0.000	3.51	0.00	0.70	17.63
20030425	0.090	3.82	7.10	0.69	17.44
20030426	0.078	3.13	0.00	0.73	17.41
20030427	0.000	3.35	0.00	0.73	17.52
20030428	0.000	3.46	0.00	0.72	17.64
20030429	0.000	3.60	0.00	0.71	17.79
20030430	0.083	4.25	0.58	0.70	17.96
20030501	0.081	3.97	0.00	0.71	18.17
20030502	0.083	4.46	2.45	0.70	18.37
20030503	0.079	4.49	0.00	0.72	18.51
20030504	0.000	3.93	0.00	0.71	18.56
20030505	0.000	3.64	0.00	0.70	18.80
20030506	0.000	3.60	0.00	0.70	19.02
20030507	0.000	3.81	0.00	0.69	19.29
20030508	0.000	3.91	0.00	0.68	19.50
20030509	0.000	3.77	0.00	0.68	19.61
20030510	0.000	4.35	0.00	0.67	19.71
20030511	0.095	4.65	0.15	0.66	19.79
20030512	0.000	4.95	0.00	0.66	19.85
20030513	0.000	4.13	0.00	0.65	19.43
20030514	0.000	3.81	0.00	0.64	19.17
20030515	0.000	3.57	0.00	0.64	19.06
20030516	0.000	3.04	0.00	0.63	19.16
20030517	0.000	3.82	0.00	0.63	19.31
20030518	0.099	4.60	1.76	0.62	19.43
20030519	0.094	4.70	0.00	0.64	19.58
20030520	0.000	3.86	0.00	0.63	19.41
20030521	0.000	3.48	0.00	0.63	19.21
20030522	0.104	4.49	7.06	0.62	19.26
20030523	0.000	2.16	0.00	0.68	18.97
20030524	0.000	3.37	0.00	0.67	18.93
20030525	0.000	3.36	0.00	0.67	18.89
20030526	0.093	3.39	0.00	0.66	18.87
20030527	0.000	4.49	0.00	0.65	19.04
20030528	0.000	4.94	0.00	0.64	19.03
20030529	0.000	4.02	0.00	0.64	18.95
20030530	0.000	4.62	0.00	0.63	18.94
20030531	0.000	4.80	0.00	0.62	19.04
20030601	0.101	4.81	0.00	0.61	19.12
20030602	0.000	5.00	0.00	0.60	19.29
20030603	0.111	5.58	0.03	0.59	19.44
20030604	0.000	2.51	0.00	0.59	19.38
20030605	0.000	4.51	0.00	0.59	19.53
20030606	0.112	5.82	0.40	0.58	19.51
20030607	0.109	5.78	3.07	0.59	19.59
20030608	0.101	5.01	0.00	0.62	19.64
20030609	0.000	4.48	0.00	0.62	19.79
20030610	0.000	4.43	0.00	0.61	19.98
20030611	0.105	5.23	0.00	0.60	20.25
20030612	0.105	6.08	0.29	0.59	20.38
20030613	0.103	6.34	0.10	0.61	20.41
20030614	0.109	5.66	0.00	0.61	20.45
20030615	0.000	5.50	0.00	0.60	20.48
20030616	0.112	6.67	1.63	0.59	20.53
20030617	0.106	6.24	0.07	0.61	20.57
20030618	0.106	4.55	0.00	0.61	20.54
20030619	0.107	4.61	0.11	0.60	20.32
20030620	0.106	6.16	2.60	0.61	20.27
20030621	0.000	5.17	0.00	0.63	20.20
20030622	0.000	5.10	0.00	0.62	20.15
20030623	0.000	5.09	0.00	0.61	20.11
20030624	0.000	5.11	0.00	0.60	20.13
20030625	0.000	5.29	0.00	0.59	20.15
20030626	0.000	4.83	0.00	0.58	20.23
20030627	0.112	5.11	0.00	0.57	20.34
20030628	0.113	4.96	0.00	0.57	20.46
20030629	0.115	5.42	0.20	0.56	20.45
20030630	0.113	5.19	0.19	0.56	20.48
20030701	0.111	5.49	0.00	0.57	20.52
20030702	0.112	4.04	1.71	0.57	20.39
20030703	0.104	3.53	0.00	0.60	20.34
20030704	0.106	4.31	0.00	0.59	20.39
20030705	0.107	4.59	0.02	0.58	20.47
20030706	0.108	4.84	0.10	0.58	20.53
20030707	0.107	5.18	0.23	0.58	20.60
20030708	0.000	4.69	0.00	0.58	20.67
20030709	0.000	4.86	0.00	0.57	20.81
20030710	0.000	4.87	0.00	0.56	20.97
20030711	0.111	5.70	0.16	0.56	21.09
20030712	0.109	5.13	0.07	0.56	21.10
20030713	0.109	4.84	0.00	0.56	21.12
20030714	0.000	4.93	0.00	0.55	21.08
20030715	0.112	1.87	0.01	0.54	21.41
20030716	0.112	4.07	0.00	0.54	21.29
20030717	0.113	5.72	0.30	0.54	21.32
20030718	0.000	4.50	0.00	0.55	21.22
20030719	0.112	4.66	0.00	0.54	21.15
20030720	0.000	4.57	0.00	0.53	21.11
20030721	0.000	4.71	0.00	0.52	21.09
20030722	0.116	6.24	1.50	0.51	21.12
20030723	0.107	6.07	1.20	0.55	21.01
20030724	0.103	4.77	0.00	0.57	20.92
20030725	0.000	4.34	0.00	0.56	20.81
20030726	0.000	4.38	0.00	0.55	20.71
20030727	0.108	4.57	0.00	0.54	20.66
20030728	0.109	4.80	0.00	0.54	20.65
20030729	0.000	4.90	0.00	0.53	20.67
20030730	0.111	6.62	2.86	0.52	20.71
20030731	0.103	5.46	0.02	0.56	20.59
20030801	0.105	6.12	3.34	0.56	20.53
20030802	0.099	5.05	0.00	0.59	20.49
20030803	0.102	6.13	0.68	0.58	20.47
20030804	0.100	5.86	0.29	0.59	20.47
20030805	0.100	4.86	0.00	0.60	20.51
20030806	0.102	4.87	0.00	0.59	20.22
20030807	0.103	5.93	0.27	0.58	20.05
20030808	0.000	3.07	0.00	0.60	20.00
20030809	0.103	3.14	0.00	0.59	19.95
20030810	0.104	3.10	0.00	0.58	19.91
20030811	0.105	3.18	0.00	0.58	19.88
20030812	0.106	5.04	0.17	0.57	19.95
20030813	0.104	4.43	0.00	0.58	20.00
20030814	0.105	4.98	0.00	0.57	20.14
20030815	0.106	4.71	0.00	0.57	20.28
20030816	0.108	4.82	0.00	0.56	20.41
20030817	0.108	4.64	0.00	0.55	20.51
20030818	0.109	4.56	0.00	0.55	20.62
20030819	0.110	5.17	0.50	0.54	20.66
20030820	0.000	4.40	0.00	0.56	20.75
20030821	0.108	4.35	0.00	0.54	20.83
20030822	0.110	4.79	0.00	0.54	20.67
20030823	0.000	4.55	0.00	0.53	20.67
20030824	0.000	4.48	0.00	0.52	20.69
20030825	0.113	4.60	0.00	0.52	20.84
20030826	0.000	3.82	0.00	0.51	20.94
20030827	0.115	5.58	0.59	0.50	21.08
20030828	0.110	4.60	0.00	0.52	21.12
20030829	0.112	4.74	0.00	0.51	21.16
