The surface flow (cms) at the sub/watershed outlet(s) is simulated by DHM-WM global water balance routine as below:
date	I	K	J
2005-1-1	0.0005	0.0000	0.0005
2005-1-2	0.0000	0.0000	0.0000
2005-1-3	0.0000	0.0000	0.0000
2005-1-4	0.0000	0.0000	0.0000
2005-1-5	0.0000	0.0000	0.0000
2005-1-6	0.0000	0.0000	0.0000
2005-1-7	0.0000	0.0000	0.0000
2005-1-8	0.0000	0.0000	0.0000
2005-1-9	0.0000	0.0000	0.0000
2005-1-10	0.0000	0.0000	0.0000
2005-1-11	0.0000	0.0000	0.0000
2005-1-12	0.0000	0.0000	0.0000
2005-1-13	0.0522	0.0181	0.0129
2005-1-14	0.0735	0.0158	0.0440
2005-1-15	0.0409	0.0078	0.0229
2005-1-16	0.0140	0.0031	0.0063
2005-1-17	0.0054	0.0010	0.0030
2005-1-18	0.0017	0.0005	0.0008
2005-1-19	0.0007	0.0003	0.0004
2005-1-20	0.0001	0.0000	0.0000
2005-1-21	0.0000	0.0000	0.0000
2005-1-22	0.0000	0.0000	0.0000
2005-1-23	0.0000	0.0000	0.0000
2005-1-24	0.0000	0.0000	0.0000
2005-1-25	0.0000	0.0000	0.0000
2005-1-26	0.0000	0.0000	0.0000
2005-1-27	0.0000	0.0000	0.0000
2005-1-28	0.0000	0.0000	0.0000
2005-1-29	0.0559	0.0194	0.0177
2005-1-30	0.0558	0.0162	0.0283
2005-1-31	0.0326	0.0056	0.0193
2005-2-1	0.0138	0.0043	0.0052
2005-2-2	0.0060	0.0020	0.0029
2005-2-3	0.0078	0.0049	0.0044
2005-2-4	0.0206	0.0053	0.0096
2005-2-5	0.0084	0.0020	0.0051
2005-2-6	0.0051	0.0011	0.0030
2005-2-7	0.0033	0.0011	0.0018
2005-2-8	0.0017	0.0003	0.0011
2005-2-9	0.1570	0.0515	0.0569
2005-2-10	0.2006	0.0517	0.0900
2005-2-11	0.0722	0.0192	0.0356
2005-2-12	0.0209	0.0052	0.0125
2005-2-13	0.0084	0.0038	0.0034
2005-2-14	0.0040	0.0015	0.0023
2005-2-15	0.0023	0.0016	0.0005
2005-2-16	0.0000	0.0000	0.0000
2005-2-17	0.0000	0.0000	0.0000
2005-2-18	0.0000	0.0000	0.0000
2005-2-19	0.0000	0.0000	0.0000
2005-2-20	0.0000	0.0000	0.0000
2005-2-21	0.0000	0.0000	0.0000
2005-2-22	0.0052	0.0093	0.0002
2005-2-23	0.0230	0.0185	0.0031
2005-2-24	0.0153	0.0049	0.0093
2005-2-25	0.0085	0.0028	0.0048
2005-2-26	0.0038	0.0011	0.0024
2005-2-27	2.3506	0.8541	0.9117
2005-2-28	1.1975	0.3679	0.6188
2005-3-1	0.0526	0.0314	0.0113
2005-3-2	0.0027	0.0019	0.0003
2005-3-3	0.0001	0.0001	0.0000
2005-3-4	0.0000	0.0000	0.0000
2005-3-5	0.0000	0.0000	0.0000
2005-3-6	0.0000	0.0000	0.0000
2005-3-7	0.0005	0.0000	0.0000
2005-3-8	0.0013	0.0005	0.0001
2005-3-9	0.0005	0.0001	0.0002
2005-3-10	0.0004	0.0000	0.0001
2005-3-11	0.0002	0.0001	0.0001
2005-3-12	0.0001	0.0000	0.0000
2005-3-13	0.0000	0.0000	0.0000
2005-3-14	0.0000	0.0000	0.0000
2005-3-15	0.0000	0.0000	0.0000
2005-3-16	0.6403	0.2005	0.2098
2005-3-17	0.5129	0.1450	0.2456
2005-3-18	0.0914	0.0342	0.0391
2005-3-19	0.0214	0.0121	0.0075
2005-3-20	0.0037	0.0004	0.0029
2005-3-21	0.0001	0.0001	0.0000
2005-3-22	4.8253	1.7198	1.8488
2005-3-23	1.5250	0.4815	0.8351
2005-3-24	0.0127	0.0087	0.0004
2005-3-25	0.0050	0.0026	0.0051
2005-3-26	1.2257	0.2678	0.2297
2005-3-27	12.7586	4.4712	5.0303
2005-3-28	3.8912	1.1515	2.1934
2005-3-29	0.0373	0.0105	0.0208
2005-3-30	0.0149	0.0027	0.0121
2005-3-31	2.1768	0.7596	0.9054
2005-4-1	6.4514	2.1895	2.6387
2005-4-2	1.5071	0.4500	0.8406
2005-4-3	0.0042	0.0014	0.0022
2005-4-4	0.0001	0.0001	0.0000
2005-4-5	0.0000	0.0000	0.0000
2005-4-6	0.0000	0.0000	0.0000
2005-4-7	5.3657	1.8801	2.3009
2005-4-8	1.5681	0.4363	0.9074
2005-4-9	0.0019	0.0003	0.0012
2005-4-10	0.0001	0.0000	0.0001
2005-4-11	0.0000	0.0000	0.0000
2005-4-12	0.0348	0.0167	0.0171
2005-4-13	0.0447	0.0080	0.0208
2005-4-14	0.0072	0.0014	0.0032
2005-4-15	0.0017	0.0004	0.0010
2005-4-16	0.0006	0.0002	0.0002
2005-4-17	0.0001	0.0000	0.0001
2005-4-18	0.0000	0.0000	0.0000
2005-4-19	0.0000	0.0000	0.0000
2005-4-20	0.0000	0.0000	0.0000
2005-4-21	0.0000	0.0000	0.0000
2005-4-22	0.9248	0.1474	0.3427
2005-4-23	0.4906	0.0966	0.2475
2005-4-24	0.0820	0.0273	0.0405
2005-4-25	0.0192	0.0081	0.0089
2005-4-26	0.0091	0.0034	0.0043
2005-4-27	0.0098	0.0037	0.0038
2005-4-28	0.0044	0.0009	0.0022
2005-4-29	0.0012	0.0002	0.0007
2005-4-30	1.4433	0.4053	0.5947
2005-5-1	0.9491	0.2491	0.5141
2005-5-2	0.0748	0.0444	0.0201
2005-5-3	0.0073	0.0049	0.0010
2005-5-4	0.0002	0.0002	0.0000
2005-5-5	0.0056	0.0007	0.0003
2005-5-6	0.0060	0.0017	0.0006
2005-5-7	0.0025	0.0003	0.0006
2005-5-8	0.0010	0.0002	0.0002
2005-5-9	0.0009	0.0003	0.0002
2005-5-10	0.0004	0.0000	0.0001
2005-5-11	0.0001	0.0000	0.0000
2005-5-12	0.0000	0.0000	0.0000
2005-5-13	0.0000	0.0000	0.0000
2005-5-14	0.0000	0.0000	0.0000
2005-5-15	0.0000	0.0000	0.0000
2005-5-16	0.0000	0.0000	0.0000
2005-5-17	0.0000	0.0000	0.0000
2005-5-18	0.0000	0.0000	0.0000
2005-5-19	0.0495	0.0007	0.0004
2005-5-20	0.0349	0.0069	0.0067
2005-5-21	0.0222	0.0049	0.0082
2005-5-22	0.0093	0.0017	0.0052
2005-5-23	0.0050	0.0008	0.0025
2005-5-24	0.0026	0.0007	0.0014
2005-5-25	0.0014	0.0002	0.0010
2005-5-26	0.0009	0.0002	0.0006
2005-5-27	0.0000	0.0000	0.0000
2005-5-28	0.0000	0.0000	0.0000
2005-5-29	0.0000	0.0000	0.0000
2005-5-30	0.0000	0.0000	0.0000
2005-5-31	0.0000	0.0000	0.0000
2005-6-1	0.3149	0.0941	0.1734
2005-6-2	0.2781	0.0706	0.1458
2005-6-3	0.1427	0.0487	0.0907
2005-6-4	0.1686	0.0307	0.1208
2005-6-5	0.0667	0.0134	0.0428
2005-6-6	0.0709	0.0246	0.0170
2005-6-7	0.0486	0.0105	0.0084
2005-6-8	1.3724	0.5067	0.3407
2005-6-9	0.6114	0.2185	0.2368
2005-6-10	0.0911	0.0371	0.0424
2005-6-11	0.0857	0.0225	0.0571
2005-6-12	0.2139	0.0242	0.1533
2005-6-13	0.0985	0.0241	0.0453
2005-6-14	0.0333	0.0092	0.0135
2005-6-15	0.0184	0.0048	0.0079
2005-6-16	0.0092	0.0031	0.0041
2005-6-17	0.0081	0.0061	0.0016
2005-6-18	0.0009	0.0002	0.0001
2005-6-19	0.0001	0.0000	0.0000
2005-6-20	0.0000	0.0000	0.0000
2005-6-21	0.0000	0.0000	0.0000
2005-6-22	0.0000	0.0000	0.0000
2005-6-23	0.0000	0.0000	0.0000
2005-6-24	0.0000	0.0000	0.0000
2005-6-25	0.0000	0.0000	0.0000
2005-6-26	0.0000	0.0000	0.0000
2005-6-27	0.0000	0.0000	0.0000
2005-6-28	0.0000	0.0000	0.0000
2005-6-29	0.0036	0.0003	0.0000
2005-6-30	0.0022	0.0007	0.0003
2005-7-1	1.6150	0.4633	1.2409
2005-7-2	0.8587	0.2671	0.4957
2005-7-3	0.0472	0.0328	0.0092
2005-7-4	0.0068	0.0044	0.0014
2005-7-5	0.0018	0.0008	0.0006
2005-7-6	0.0005	0.0001	0.0001
2005-7-7	0.0002	0.0001	0.0002
2005-7-8	0.0001	0.0000	0.0000
2005-7-9	0.0000	0.0000	0.0000
2005-7-10	14.8501	5.5322	7.0997
2005-7-11	3.9257	1.1954	2.2254
2005-7-12	0.0032	0.0001	0.0001
2005-7-13	0.6175	0.0017	0.0048
2005-7-14	0.0424	0.0006	0.0029
2005-7-15	0.0045	0.0002	0.0012
2005-7-16	0.0029	0.0001	0.0007
2005-7-17	0.0015	0.0001	0.0008
2005-7-18	0.0011	0.0000	0.0002
2005-7-19	0.0001	0.0007	0.0001
2005-7-20	0.0232	0.0251	0.0002
2005-7-21	0.1099	0.0533	0.0595
2005-7-22	0.1186	0.0305	0.0712
2005-7-23	0.0243	0.0111	0.0107
2005-7-24	0.0109	0.0050	0.0052
2005-7-25	0.0049	0.0019	0.0022
2005-7-26	0.0036	0.0032	0.0005
2005-7-27	0.0033	0.0020	0.0010
2005-7-28	0.0000	0.0000	0.0000
2005-7-29	0.0000	0.0000	0.0000
2005-7-30	0.0085	0.0118	0.0006
2005-7-31	0.0158	0.0104	0.0034
2005-8-1	0.0096	0.0035	0.0051
2005-8-2	0.0035	0.0007	0.0020
2005-8-3	0.0015	0.0007	0.0011
2005-8-4	0.0027	0.0012	0.0010
2005-8-5	1.1565	0.4897	0.2510
2005-8-6	0.4376	0.1941	0.1419
2005-8-7	0.0830	0.0273	0.0393
2005-8-8	0.0345	0.0076	0.0117
2005-8-9	0.0135	0.0008	0.0049
2005-8-10	0.0022	0.0001	0.0009
2005-8-11	0.0105	0.0024	0.0114
2005-8-12	0.0314	0.0063	0.0234
2005-8-13	0.0123	0.0025	0.0074
2005-8-14	0.0036	0.0008	0.0024
2005-8-15	0.0032	0.0009	0.0025
2005-8-16	0.0015	0.0000	0.0009
2005-8-17	0.0012	0.0001	0.0012
2005-8-18	0.0000	0.0000	0.0000
2005-8-19	0.0004	0.0000	0.0007
2005-8-20	0.0009	0.0000	0.0014
2005-8-21	0.0011	0.0001	0.0002
2005-8-22	0.0046	0.0001	0.0030
2005-8-23	0.0133	0.0016	0.0083
2005-8-24	0.0074	0.0003	0.0048
2005-8-25	0.0027	0.0002	0.0009
2005-8-26	0.0010	0.0000	0.0004
2005-8-27	0.0006	0.0000	0.0004
2005-8-28	0.0002	0.0000	0.0001
2005-8-29	0.0000	0.0000	0.0000
2005-8-30	0.0000	0.0000	0.0000
2005-8-31	0.0002	0.0000	0.0000
2005-9-1	0.0006	0.0004	0.0003
2005-9-2	0.0006	0.0001	0.0001
2005-9-3	0.0003	0.0000	0.0002
2005-9-4	0.0001	0.0000	0.0000
2005-9-5	0.0001	0.0000	0.0000
2005-9-6	0.0000	0.0000	0.0000
2005-9-7	0.0000	0.0000	0.0000
2005-9-8	0.0000	0.0000	0.0000
2005-9-9	0.0000	0.0000	0.0000
2005-9-10	0.0000	0.0000	0.0000
2005-9-11	0.0000	0.0000	0.0000
2005-9-12	0.0000	0.0000	0.0000
2005-9-13	0.0000	0.0000	0.0000
2005-9-14	0.0000	0.0000	0.0000
2005-9-15	0.0000	0.0000	0.0000
2005-9-16	0.0000	0.0000	0.0000
2005-9-17	0.0000	0.0000	0.0000
2005-9-18	0.0000	0.0000	0.0000
2005-9-19	0.0000	0.0000	0.0000
2005-9-20	0.0000	0.0000	0.0000
2005-9-21	0.0000	0.0000	0.0000
2005-9-22	0.0000	0.0000	0.0000
2005-9-23	0.0000	0.0000	0.0000
2005-9-24	0.0000	0.0000	0.0000
2005-9-25	0.0000	0.0000	0.0000
